batch_id,production_line,shift,operator_experience_years,material_grade,temperature_c,humidity_pct,speed_rpm,batch_size_units,defect_count,defect_rate,downtime_minutes,energy_kwh,maintenance_days_ago,quality_score,passed_inspection,product_type,order_priority,supplier_id,tool_wear_pct,vibration_mm_s,pressure_bar,cycle_time_sec,scrap_cost_usd,shift_supervisor,weekday,production_date,is_weekend,target_met,rework_units,oee_pct
BATCH-5030,Line_C,evening,11,B,22.04,64.5,1407,159,5,0.0314,14.1,195.1,53,86.8,True,gear,normal,SUP-03,55.2,0.493,4.5,8.0,39.54,Petrov,1,2024-02-01,False,True,2,86.1
BATCH-5031,Line_C,evening,4,A,24.21,68.1,1331,56,2,0.0357,4.1,108.1,54,86.0,True,bracket,high,SUP-02,37.5,0.955,4.55,2.7,28.03,Kozlov,6,2024-02-02,False,True,0,81.9
BATCH-5032,Line_A,evening,18,C,17.93,61.0,1495,350,15,0.0429,32.0,355.4,7,85.0,True,gear,high,SUP-04,54.7,0.539,3.82,13.7,306.48,Kozlov,5,2024-02-03,False,False,11,84.3
BATCH-5033,Line_A,night,11,A,21.48,54.7,1328,92,4,0.0435,36.3,138.0,58,75.6,True,bracket,high,SUP-02,60.9,0.846,4.41,4.8,49.43,Sidorov,1,2024-02-04,False,False,2,82.7
BATCH-5034,Line_A,night,14,B,24.82,59.8,1397,431,18,0.0418,42.0,409.1,47,83.7,True,bracket,normal,SUP-02,23.6,0.95,4.82,17.6,317.7,Sidorov,5,2024-02-05,False,False,11,84.2
BATCH-5035,Line_C,day,17,A,21.7,61.7,1383,253,6,0.0237,20.0,269.9,61,95.0,True,housing,low,SUP-01,22.8,0.82,4.35,11.5,91.4,Sidorov,1,2024-02-06,False,True,4,90.6
BATCH-5036,Line_A,night,18,A,25.72,62.4,1311,373,14,0.0375,37.8,365.7,27,73.0,True,housing,normal,SUP-04,39.3,0.847,4.41,17.5,347.74,Petrov,3,2024-02-07,False,True,8,88.3
BATCH-5037,Line_B,evening,13,A,18.31,41.6,1361,202,4,0.0198,10.8,228.8,23,93.2,True,housing,low,SUP-04,21.9,0.625,4.56,10.1,33.91,Kozlov,5,2024-02-08,False,True,3,79.7
BATCH-5038,Line_B,evening,15,B,23.07,57.9,1454,109,0,0.0,22.9,152.8,66,100.0,True,widget,low,SUP-01,53.4,0.669,4.45,3.3,0.0,Ivanov,0,2024-02-09,False,True,0,91.8
BATCH-5039,Line_C,night,9,A,27.27,63.7,1133,131,9,0.0687,29.9,166.4,65,64.4,False,widget,normal,SUP-03,59.7,1.244,4.09,8.4,117.28,Ivanov,5,2024-02-10,False,False,4,77.3
BATCH-5040,Line_B,day,14,C,23.46,59.2,1247,340,14,0.0412,40.5,320.6,15,73.3,True,gear,normal,SUP-04,37.8,0.783,4.49,14.5,201.04,Sidorov,1,2024-02-11,False,False,10,82.5
BATCH-5041,Line_B,evening,6,B,22.42,59.3,1160,372,8,0.0215,25.0,353.4,20,94.0,True,gear,high,SUP-03,57.9,0.723,4.9,18.1,124.58,Kozlov,4,2024-02-12,False,True,4,83.8
BATCH-5042,Line_C,day,14,C,21.71,66.4,1396,170,8,0.0471,30.7,202.7,53,70.5,True,gear,high,SUP-01,40.8,1.048,4.08,6.3,82.46,Kozlov,3,2024-02-13,False,False,2,84.8
BATCH-5043,Line_A,day,1,A,19.5,50.1,1102,210,7,0.0333,20.4,223.8,74,82.5,True,housing,high,SUP-04,57.0,1.177,4.35,9.3,169.91,Sidorov,0,2024-02-14,False,True,3,79.1
BATCH-5044,Line_C,night,18,B,23.78,45.9,1374,475,11,0.0232,40.0,451.5,18,88.2,True,gear,high,SUP-02,18.0,0.889,3.95,22.8,255.53,Petrov,5,2024-02-15,False,True,6,93.9
BATCH-5045,Line_A,day,4,B,25.78,59.3,1360,433,14,0.0323,37.9,420.0,20,87.4,True,bracket,high,SUP-02,59.1,1.066,4.88,17.2,342.41,Petrov,1,2024-02-16,False,True,5,83.9
BATCH-5046,Line_B,day,13,B,21.64,69.1,1473,235,3,0.0128,6.6,258.1,72,90.5,True,widget,low,SUP-02,57.2,0.506,4.46,8.2,74.82,Petrov,6,2024-02-17,False,True,1,88.6
BATCH-5047,Line_C,day,0,C,19.33,77.7,974,158,15,0.0949,31.1,178.0,63,49.1,False,widget,normal,SUP-04,21.3,1.344,4.16,12.2,275.94,Petrov,5,2024-02-18,False,False,7,65.4
BATCH-5048,Line_B,evening,3,B,20.52,69.0,1297,185,8,0.0432,21.7,213.8,81,78.9,True,bracket,low,SUP-03,44.5,0.885,4.54,7.4,112.27,Petrov,1,2024-02-19,False,False,4,69.3
BATCH-5049,Line_B,night,19,C,24.6,47.7,1330,292,8,0.0274,16.4,291.5,70,91.3,True,bracket,low,SUP-03,68.4,0.745,4.02,12.8,176.12,Ivanov,4,2024-02-20,False,True,2,88.0
BATCH-5050,Line_A,night,16,B,22.88,59.5,1455,305,5,0.0164,11.0,326.3,85,100.0,True,gear,low,SUP-04,20.0,0.462,4.09,10.5,27.38,Petrov,2,2024-02-21,True,True,3,85.7
BATCH-5051,Line_B,day,4,A,23.46,64.6,1435,132,4,0.0303,13.6,170.1,17,77.3,True,bracket,high,SUP-04,58.9,1.056,3.92,7.2,86.75,Kozlov,4,2024-02-22,False,True,1,81.6
BATCH-5052,Line_A,evening,2,B,23.57,63.8,1201,79,2,0.0253,8.2,125.4,25,88.9,True,housing,high,SUP-04,76.3,0.93,4.07,5.6,29.89,Sidorov,3,2024-02-23,False,True,0,81.4
BATCH-5053,Line_B,evening,16,A,24.67,67.8,1205,272,4,0.0147,20.3,279.8,22,87.2,True,bracket,urgent,SUP-04,69.3,0.586,5.04,15.0,73.86,Ivanov,2,2024-02-24,False,True,2,92.1
BATCH-5054,Line_B,evening,19,C,26.27,53.7,917,408,23,0.0564,49.5,373.6,5,76.9,False,housing,urgent,SUP-04,32.1,1.192,4.21,27.8,287.06,Petrov,4,2024-02-25,False,False,12,87.4
BATCH-5055,Line_A,day,3,B,24.99,63.1,1482,118,4,0.0339,11.7,166.1,70,78.4,True,housing,high,SUP-04,48.6,0.884,4.69,4.9,49.49,Petrov,1,2024-02-26,False,True,2,79.6
BATCH-5056,Line_A,day,13,A,19.2,65.0,979,233,7,0.03,19.5,239.5,59,81.6,True,widget,low,SUP-03,79.3,0.944,4.17,13.2,39.44,Petrov,6,2024-02-27,False,True,3,92.3
BATCH-5057,Line_A,evening,5,A,19.29,69.0,1307,122,4,0.0328,8.5,155.2,8,80.7,True,bracket,high,SUP-01,45.5,0.559,4.8,4.0,53.9,Sidorov,6,2024-02-28,False,True,1,81.6
BATCH-5058,Line_A,evening,14,A,21.77,53.5,1357,158,2,0.0127,16.2,193.9,18,93.3,True,widget,high,SUP-01,9.2,0.598,4.09,9.6,26.33,Kozlov,1,2024-02-29,False,True,1,85.5
BATCH-5059,Line_A,evening,8,A,20.65,57.7,1109,325,6,0.0185,27.8,312.6,17,92.4,True,gear,high,SUP-04,3.6,0.673,4.52,19.1,56.97,Sidorov,5,2024-03-01,True,True,3,83.6
BATCH-5060,Line_C,evening,2,A,18.59,33.5,948,178,9,0.0506,60.3,186.4,36,77.1,False,housing,low,SUP-02,63.2,1.131,4.52,9.9,89.52,Petrov,6,2024-03-02,False,False,3,74.8
BATCH-5061,Line_B,night,6,B,22.67,55.6,932,168,6,0.0357,30.1,183.2,41,82.1,True,gear,low,SUP-04,33.9,0.731,5.43,10.9,100.1,Ivanov,0,2024-03-03,False,True,4,82.6
BATCH-5062,Line_A,evening,10,B,20.58,55.9,1400,498,3,0.006,10.5,473.8,26,90.4,True,gear,urgent,SUP-04,19.7,0.06,4.75,20.7,34.07,Ivanov,5,2024-03-04,False,True,1,86.0
BATCH-5063,Line_B,day,15,B,19.98,50.8,1158,127,3,0.0236,23.7,157.8,83,91.8,True,widget,low,SUP-03,27.8,0.52,4.26,4.3,64.82,Kozlov,6,2024-03-05,False,True,1,86.9
BATCH-5064,Line_C,night,0,A,23.05,63.6,863,135,8,0.0593,76.4,155.1,19,70.1,False,housing,normal,SUP-04,60.6,1.081,4.77,9.7,57.82,Sidorov,1,2024-03-06,True,False,4,72.7
BATCH-5065,Line_A,night,19,B,27.54,62.7,1302,468,27,0.0577,56.9,439.7,51,77.0,False,widget,normal,SUP-02,37.2,1.09,5.36,20.7,446.93,Sidorov,4,2024-03-07,False,False,13,81.6
BATCH-5066,Line_A,day,12,A,22.6,39.2,975,297,3,0.0101,44.0,281.9,39,91.4,True,gear,low,SUP-02,69.5,0.938,3.85,16.4,24.6,Sidorov,5,2024-03-08,False,True,1,91.4
BATCH-5067,Line_A,evening,17,C,29.42,66.0,1413,69,4,0.058,13.2,124.6,35,63.0,False,gear,low,SUP-04,58.8,1.197,4.16,-0.0,62.26,Kozlov,2,2024-03-09,False,False,1,83.8
BATCH-5068,Line_A,day,18,A,22.51,52.5,1017,241,0,0.0,0.7,242.1,74,99.8,True,housing,urgent,SUP-04,77.9,0.516,4.41,11.1,0.0,Kozlov,1,2024-03-10,False,True,0,97.5
BATCH-5069,Line_C,evening,3,A,21.13,66.2,940,304,13,0.0428,26.8,286.7,88,85.1,True,gear,high,SUP-01,71.1,0.922,4.33,18.7,232.0,Ivanov,2,2024-03-11,False,False,10,76.9
BATCH-5070,Line_C,day,1,A,22.01,48.8,859,163,4,0.0245,10.5,175.5,1,88.6,True,gear,urgent,SUP-04,20.4,0.966,4.37,11.2,54.19,Petrov,2,2024-03-12,False,True,2,84.2
BATCH-5071,Line_A,evening,15,B,22.77,62.1,1158,296,4,0.0135,21.3,295.9,42,92.3,True,gear,normal,SUP-02,52.7,0.517,3.98,13.6,60.76,Ivanov,5,2024-03-13,True,True,2,85.7
BATCH-5072,Line_B,day,3,A,23.31,59.2,1116,341,7,0.0205,29.0,320.6,11,85.4,True,widget,normal,SUP-04,1.6,0.677,5.06,19.6,60.33,Petrov,2,2024-03-14,False,True,2,78.2
BATCH-5073,Line_A,evening,2,B,28.23,66.5,1326,162,7,0.0432,28.0,187.6,39,87.2,True,widget,normal,SUP-03,79.3,0.714,3.93,7.2,99.82,Sidorov,2,2024-03-15,False,False,4,73.7
BATCH-5074,Line_B,night,9,B,21.46,62.7,1125,415,15,0.0361,36.0,390.4,55,76.8,True,gear,normal,SUP-03,20.9,1.145,4.42,23.3,186.91,Ivanov,6,2024-03-16,False,True,6,82.3
BATCH-5075,Line_C,day,18,B,24.58,59.8,1041,253,6,0.0237,21.8,250.4,37,84.5,True,bracket,low,SUP-01,53.2,0.815,4.92,14.2,109.94,Ivanov,4,2024-03-17,False,True,2,92.9
BATCH-5076,Line_A,night,15,A,24.62,47.0,983,483,13,0.0269,40.6,437.1,28,89.4,True,bracket,high,SUP-02,67.9,0.627,4.49,27.9,178.05,Petrov,6,2024-03-18,False,True,4,85.3
BATCH-5077,Line_A,night,10,A,19.29,46.0,995,89,4,0.0449,17.1,124.8,28,68.3,True,widget,urgent,SUP-03,12.8,0.926,4.11,5.6,82.35,Sidorov,4,2024-03-19,False,False,2,79.6
BATCH-5078,Line_B,night,3,A,26.31,57.1,1449,195,10,0.0513,27.2,222.1,27,80.7,False,housing,normal,SUP-04,67.8,1.115,3.96,5.5,135.2,Sidorov,6,2024-03-20,True,False,6,75.6
BATCH-5079,Line_C,day,6,A,25.8,62.7,916,374,22,0.0588,47.3,337.9,29,73.7,False,gear,normal,SUP-01,1.0,1.038,4.41,25.6,213.74,Ivanov,1,2024-03-21,False,False,7,78.0
BATCH-5080,Line_A,night,13,B,21.43,55.3,1492,452,10,0.0221,25.8,444.6,34,93.4,True,gear,normal,SUP-01,35.4,0.614,4.2,16.3,104.74,Ivanov,6,2024-03-22,False,True,3,85.6
BATCH-5081,Line_A,day,3,A,21.97,67.8,1029,149,4,0.0268,25.5,172.4,62,89.4,True,housing,low,SUP-03,37.8,0.637,4.58,10.5,23.62,Kozlov,6,2024-03-23,False,True,2,79.5
BATCH-5082,Line_A,day,10,A,16.82,57.3,862,491,17,0.0346,43.4,433.8,9,81.9,True,housing,normal,SUP-02,29.9,0.914,3.94,33.5,268.57,Sidorov,0,2024-03-24,False,True,9,79.0
BATCH-5083,Line_B,night,0,A,20.22,51.4,974,137,4,0.0292,10.6,153.6,4,80.1,True,housing,normal,SUP-04,46.9,0.72,4.83,10.6,86.47,Kozlov,2,2024-03-25,False,True,2,77.4
BATCH-5084,Line_B,evening,6,B,25.14,59.8,841,237,10,0.0422,23.2,229.1,46,78.2,True,bracket,normal,SUP-01,73.2,0.831,4.55,14.7,203.82,Kozlov,2,2024-03-26,False,False,3,83.1
BATCH-5085,Line_C,evening,4,A,20.6,63.4,1353,191,7,0.0366,32.7,214.5,61,76.8,True,housing,normal,SUP-02,26.2,0.599,4.58,7.1,96.29,Kozlov,2,2024-03-27,False,True,4,80.0
BATCH-5086,Line_C,day,13,B,18.67,63.9,1159,240,11,0.0458,50.4,254.4,24,79.5,True,gear,high,SUP-01,46.3,0.974,5.08,13.2,98.15,Sidorov,5,2024-03-28,True,False,8,80.1
BATCH-5087,Line_C,night,18,A,24.69,81.2,1036,456,25,0.0548,54.3,412.7,18,76.6,False,bracket,normal,SUP-03,70.2,1.012,4.32,28.8,556.74,Kozlov,4,2024-03-29,False,False,15,86.7
BATCH-5088,Line_C,evening,2,C,20.43,54.4,1263,379,21,0.0554,48.0,371.8,56,79.7,False,bracket,low,SUP-04,61.8,0.99,4.21,21.3,128.85,Petrov,1,2024-03-30,True,False,8,73.2
BATCH-5089,Line_A,evening,15,B,20.59,60.4,1241,408,4,0.0098,8.1,386.5,35,97.0,True,housing,low,SUP-01,3.3,0.638,4.28,19.8,51.94,Kozlov,4,2024-03-31,False,True,2,94.8
BATCH-5090,Line_B,night,13,A,26.22,67.1,1458,164,10,0.061,21.4,198.9,66,74.1,False,housing,low,SUP-02,75.4,1.26,4.42,10.4,221.32,Petrov,6,2024-04-01,False,False,4,83.5
BATCH-5091,Line_A,day,19,A,18.51,60.3,1473,476,12,0.0252,38.4,452.3,14,85.9,True,widget,normal,SUP-04,3.7,0.892,4.46,18.8,154.36,Petrov,3,2024-04-02,False,True,3,89.6
BATCH-5092,Line_A,day,18,A,19.28,55.8,1276,245,5,0.0204,58.1,246.7,11,87.4,True,bracket,high,SUP-01,47.1,0.815,4.17,13.7,36.79,Sidorov,6,2024-04-03,False,True,2,85.4
BATCH-5093,Line_C,evening,2,A,22.46,46.2,1372,343,14,0.0408,39.1,342.4,50,82.0,True,housing,high,SUP-04,46.0,0.86,3.69,13.1,144.47,Petrov,4,2024-04-04,False,False,10,84.7
BATCH-5094,Line_B,night,14,A,26.91,58.0,1355,363,20,0.0551,49.6,357.3,35,70.5,False,housing,normal,SUP-04,62.9,0.938,4.28,16.9,340.01,Ivanov,6,2024-04-05,False,False,10,82.1
BATCH-5095,Line_C,day,11,C,25.71,52.0,1144,348,21,0.0603,60.0,339.7,65,71.2,False,housing,normal,SUP-01,11.9,0.894,4.64,13.6,168.86,Kozlov,6,2024-04-06,False,False,15,77.5
BATCH-5096,Line_B,day,2,B,20.0,43.7,1293,320,6,0.0188,16.1,311.2,46,85.3,True,gear,low,SUP-01,14.3,0.569,4.55,12.6,108.59,Petrov,0,2024-04-07,False,True,3,85.1
BATCH-5097,Line_B,day,5,A,24.81,54.5,855,266,6,0.0226,21.5,261.3,32,84.3,True,housing,normal,SUP-03,60.2,0.73,4.98,19.6,82.58,Kozlov,5,2024-04-08,False,True,3,85.1
BATCH-5098,Line_B,night,18,B,21.65,51.0,1331,341,3,0.0088,11.9,343.4,15,98.8,True,housing,normal,SUP-01,12.0,0.431,5.28,12.8,35.06,Petrov,1,2024-04-09,True,True,0,96.2
BATCH-5099,Line_A,day,10,A,27.48,69.1,1473,457,24,0.0525,53.8,445.5,15,78.2,False,bracket,high,SUP-03,37.6,1.044,4.8,19.5,235.64,Kozlov,5,2024-04-10,False,False,14,77.5
BATCH-5100,Line_A,evening,6,C,18.6,66.6,859,225,14,0.0622,30.5,222.7,68,64.0,False,bracket,normal,SUP-01,58.5,0.929,5.05,17.5,300.53,Sidorov,5,2024-04-11,False,False,4,76.5
BATCH-5101,Line_B,night,6,A,27.99,54.4,1385,279,12,0.043,31.0,297.5,21,81.9,True,gear,normal,SUP-03,52.1,0.598,4.81,11.1,155.2,Kozlov,1,2024-04-12,False,False,6,75.8
BATCH-5102,Line_A,day,16,B,20.03,58.4,1453,131,2,0.0153,12.6,170.1,45,89.7,True,bracket,normal,SUP-02,16.8,0.817,5.18,3.5,39.54,Kozlov,0,2024-04-13,False,True,0,91.9
BATCH-5103,Line_C,evening,5,B,28.04,44.8,958,209,8,0.0383,39.0,218.7,73,80.9,True,housing,low,SUP-03,24.3,0.788,5.24,12.1,110.46,Ivanov,2,2024-04-14,True,True,3,79.8
BATCH-5104,Line_A,evening,3,A,23.77,57.2,1167,397,11,0.0277,58.5,372.1,80,93.2,True,widget,urgent,SUP-04,77.5,0.61,4.88,18.5,75.21,Kozlov,2,2024-04-15,False,True,6,81.8
BATCH-5105,Line_A,night,11,A,20.95,65.3,1450,338,9,0.0266,19.1,334.6,24,90.7,True,widget,low,SUP-02,35.9,0.547,4.78,13.8,124.29,Kozlov,3,2024-04-16,False,True,2,84.7
BATCH-5106,Line_C,day,19,A,20.43,69.4,1472,145,5,0.0345,11.4,184.0,10,86.7,True,widget,low,SUP-03,3.6,0.93,4.42,6.1,75.77,Sidorov,0,2024-04-17,False,True,2,86.8
BATCH-5107,Line_A,day,3,C,24.34,55.2,890,295,15,0.0508,51.3,280.5,69,84.1,False,widget,low,SUP-03,17.6,1.283,4.48,19.3,212.35,Kozlov,0,2024-04-18,False,False,11,73.7
BATCH-5108,Line_C,day,5,B,25.16,73.1,1044,415,29,0.0699,67.9,380.1,62,61.5,False,housing,high,SUP-04,27.4,1.118,4.36,27.2,618.42,Kozlov,3,2024-04-19,False,False,9,75.9
BATCH-5109,Line_B,evening,9,B,21.79,46.4,1289,105,2,0.019,20.9,150.3,30,85.6,True,housing,normal,SUP-01,80.0,0.647,4.75,3.4,46.43,Sidorov,5,2024-04-20,False,True,0,90.2
BATCH-5110,Line_A,evening,3,B,22.13,49.2,955,77,1,0.013,3.2,100.3,53,89.9,True,housing,normal,SUP-01,24.2,0.844,4.21,7.6,20.74,Petrov,2,2024-04-21,False,True,0,82.2
BATCH-5111,Line_B,day,13,B,24.28,69.4,1027,226,8,0.0354,18.0,221.5,17,81.0,True,bracket,normal,SUP-02,2.1,0.492,4.42,11.1,133.25,Kozlov,2,2024-04-22,False,True,3,86.1
BATCH-5112,Line_B,day,5,A,22.4,78.4,816,345,9,0.0261,27.8,323.7,63,75.2,True,housing,low,SUP-03,41.0,1.154,3.56,25.5,142.46,Ivanov,1,2024-04-23,False,True,5,83.6
BATCH-5113,Line_C,night,2,B,20.12,66.0,907,190,10,0.0526,26.8,201.9,65,72.7,False,widget,high,SUP-04,6.7,1.515,5.19,14.9,178.92,Sidorov,1,2024-04-24,True,False,4,75.5
BATCH-5114,Line_C,day,5,B,19.56,60.5,1194,419,19,0.0453,45.3,389.6,27,74.6,True,bracket,low,SUP-02,21.9,0.412,4.41,23.3,204.38,Kozlov,2,2024-04-25,True,False,10,73.9
BATCH-5115,Line_B,day,18,A,22.71,39.9,1257,431,0,0.0,27.2,407.6,42,100.0,True,widget,low,SUP-01,79.4,0.48,4.68,19.7,0.0,Kozlov,1,2024-04-26,True,True,0,90.1
BATCH-5116,Line_B,evening,18,C,25.65,42.5,1254,289,12,0.0415,40.4,299.0,30,81.0,True,widget,normal,SUP-03,56.4,0.771,5.08,14.9,265.64,Petrov,2,2024-04-27,False,False,5,83.4
BATCH-5117,Line_A,day,10,A,26.85,64.3,1345,220,7,0.0318,19.8,245.3,3,81.1,True,widget,low,SUP-03,4.1,0.765,4.62,10.7,72.41,Ivanov,1,2024-04-28,False,True,5,77.2
BATCH-5118,Line_B,day,8,A,24.34,58.7,1091,68,1,0.0147,29.1,109.7,12,95.6,True,widget,low,SUP-02,35.9,0.563,5.08,2.7,23.06,Petrov,4,2024-04-29,False,True,0,90.3
BATCH-5119,Line_C,evening,16,B,22.86,50.8,991,419,3,0.0072,13.1,390.2,86,100.0,True,bracket,high,SUP-01,13.7,0.734,4.0,26.6,65.92,Kozlov,2,2024-04-30,False,True,1,92.7
BATCH-5120,Line_B,day,3,A,24.25,62.9,811,452,17,0.0376,50.5,398.5,41,77.4,True,housing,normal,SUP-04,9.8,0.853,5.46,37.2,229.33,Sidorov,5,2024-05-01,False,True,8,78.9
