order_id,region,customer_segment,product_category,channel,is_premium,is_returned,order_date,quantity,unit_price,discount_pct,revenue,cost,margin,margin_pct,nps,session_minutes,page_views,age,income_k,loyalty_points,shipping_days,delivery_score,campaign,items_in_cart,payment_method,repeat_customer
ORD-20250020,СПб,B,Спорт,online,False,True,2023-01-06 00:00:00,5,243.21,14.2,1043.36,610.81,432.55,41.5,8.5,18.3,13,46,365.0,502,8,4.3,NONE,9,credit,True
ORD-20250021,Новосибирск,C,Спорт,online,True,False,2023-01-06 06:00:00,5,251.72,7.8,1160.43,684.46,475.97,41.0,9.4,18.9,7,67,354.0,1515,10,3.9,NEWYEAR,9,cash,True
ORD-20250022,Самара,B,Одежда,online,True,False,2023-01-06 12:00:00,3,195.45,10.5,524.78,299.41,225.37,42.9,8.3,17.9,7,52,242.0,1491,11,3.8,NONE,6,credit,False
ORD-20250023,СПб,B,Электроника,mobile,False,False,2023-01-06 18:00:00,3,51.65,5.9,145.82,80.59,65.23,44.7,9.6,17.3,13,54,291.0,25,5,3.6,SUMMER,3,cash,True
ORD-20250024,Самара,A,Одежда,store,False,False,2023-01-07 00:00:00,3,578.6,15.4,1468.49,866.8,601.69,41.0,9.2,92.0,18,56,394.0,5865,4,3.8,NONE,4,cash,True
ORD-20250025,Самара,B,Мебель,mobile,True,False,2023-01-07 06:00:00,7,30.37,13.4,184.13,122.17,61.96,33.7,7.1,41.1,16,29,572.0,5517,4,3.9,SALE20,10,cash,False
ORD-20250026,Новосибирск,B,Электроника,mobile,False,False,2023-01-07 12:00:00,4,190.07,3.2,735.94,404.26,331.68,45.1,10.0,26.8,11,58,405.0,4459,5,4.0,SUMMER,4,cash,True
ORD-20250027,СПб,B,Одежда,store,False,True,2023-01-07 18:00:00,7,296.71,18.2,1698.99,1060.24,638.75,37.6,7.9,50.8,11,18,276.0,4307,5,3.6,NONE,11,card,True
ORD-20250028,Новосибирск,B,Одежда,online,False,True,2023-01-08 00:00:00,3,335.6,7.1,935.32,521.52,413.8,44.2,10.0,32.3,10,41,400.0,2191,13,4.0,NONE,6,wallet,False
ORD-20250029,Самара,C,Мебель,online,False,False,2023-01-08 06:00:00,3,184.54,14.7,472.25,350.09,122.16,25.9,9.1,20.8,11,52,271.0,2265,6,4.9,NONE,3,credit,True
ORD-20250030,Казань,B,Одежда,mobile,False,True,2023-01-08 12:00:00,3,401.46,21.7,943.04,617.8,325.24,34.5,8.1,18.9,10,26,599.0,745,1,3.9,SALE20,5,cash,False
ORD-20250031,Самара,C,Мебель,store,True,False,2023-01-08 18:00:00,3,183.75,9.9,496.67,350.49,146.18,29.4,7.0,13.8,11,50,810.0,2646,1,3.7,NONE,4,credit,False
ORD-20250032,Казань,C,Одежда,online,False,True,2023-01-09 00:00:00,3,314.66,16.0,792.95,459.62,333.33,42.0,8.2,41.9,10,21,462.0,3321,3,2.9,SALE20,7,credit,True
ORD-20250033,Новосибирск,C,Электроника,mobile,False,False,2023-01-09 06:00:00,5,98.22,21.6,385.02,202.87,182.15,47.3,9.5,30.8,9,29,582.0,2424,4,4.8,SALE20,6,card,False
ORD-20250034,Москва,A,Одежда,store,False,True,2023-01-09 12:00:00,7,338.16,15.6,1997.85,946.37,1051.48,52.6,8.2,21.6,14,57,334.0,7153,1,5.0,NONE,11,credit,True
ORD-20250035,Самара,A,Спорт,online,True,False,2023-01-09 18:00:00,2,35.22,24.6,53.12,36.92,16.2,30.5,7.8,7.2,10,51,487.0,3067,9,4.7,SALE20,4,credit,True
ORD-20250036,Новосибирск,C,Мебель,online,False,False,2023-01-10 00:00:00,3,219.97,2.0,646.72,426.47,220.25,34.1,9.3,15.7,14,67,434.0,6038,13,5.0,NONE,3,wallet,False
ORD-20250037,Москва,B,Продукты,online,True,False,2023-01-10 06:00:00,3,207.25,9.1,565.18,393.57,171.61,30.4,7.9,9.5,9,26,654.0,2452,5,3.1,NONE,3,credit,True
ORD-20250038,Казань,A,Одежда,online,False,False,2023-01-10 12:00:00,2,481.3,17.6,793.17,518.53,274.64,34.6,6.9,57.4,12,61,346.0,7031,4,3.5,NONE,3,cash,False
ORD-20250039,Самара,B,Одежда,online,False,False,2023-01-10 18:00:00,1,373.74,12.2,328.15,151.39,176.76,53.9,10.0,3.5,5,39,424.0,3490,9,4.7,SUMMER,1,card,False
ORD-20250040,Новосибирск,B,Продукты,online,False,False,2023-01-11 00:00:00,1,222.17,6.5,207.73,119.95,87.78,42.3,9.4,5.4,7,58,282.0,6068,7,4.4,NONE,1,card,False
ORD-20250041,Москва,A,Спорт,mobile,False,False,2023-01-11 06:00:00,1,431.38,8.4,395.15,217.12,178.03,45.1,8.5,24.3,8,34,566.0,6767,9,5.0,NONE,1,card,False
ORD-20250042,СПб,A,Одежда,mobile,False,False,2023-01-11 12:00:00,2,516.17,18.1,845.49,490.43,355.06,42.0,7.2,17.3,11,58,339.0,6753,12,5.0,SALE20,6,credit,True
ORD-20250043,Казань,C,Спорт,store,False,False,2023-01-11 18:00:00,5,315.02,19.7,1264.79,822.62,442.17,35.0,8.8,37.2,12,62,385.0,4246,13,4.6,NONE,9,cash,True
ORD-20250044,Самара,B,Одежда,mobile,False,False,2023-01-12 00:00:00,1,61.51,15.9,51.73,32.07,19.66,38.0,8.0,54.7,7,55,305.0,6629,4,3.8,NONE,5,cash,False
ORD-20250045,Москва,B,Электроника,mobile,True,False,2023-01-12 06:00:00,3,278.48,22.2,649.96,416.42,233.54,35.9,8.9,73.5,5,33,404.0,6213,6,4.0,NONE,3,cash,False
ORD-20250046,Новосибирск,C,Мебель,online,False,False,2023-01-12 12:00:00,4,347.37,13.0,1208.86,620.32,588.54,48.7,7.7,15.9,14,62,581.0,1580,2,3.8,NONE,4,wallet,False
ORD-20250047,Казань,C,Электроника,online,False,False,2023-01-12 18:00:00,1,111.88,20.6,88.83,53.2,35.63,40.1,8.3,77.2,15,32,503.0,4579,8,4.3,SUMMER,2,cash,False
ORD-20250048,Казань,B,Мебель,mobile,False,False,2023-01-13 00:00:00,4,318.02,2.7,1237.73,644.3,593.43,47.9,8.7,27.3,7,24,727.0,4171,4,4.0,NONE,7,cash,False
ORD-20250049,Самара,B,Спорт,mobile,False,True,2023-01-13 06:00:00,7,148.33,24.6,782.91,472.36,310.55,39.7,9.8,36.8,15,57,336.0,2213,10,5.0,NONE,10,wallet,True
ORD-20250050,Казань,C,Электроника,online,False,False,2023-01-13 12:00:00,1,302.91,21.9,236.58,127.4,109.18,46.1,8.7,29.1,8,29,437.0,5448,7,3.0,SALE20,3,cash,True
ORD-20250051,СПб,C,Продукты,mobile,True,False,2023-01-13 18:00:00,3,280.69,22.3,654.28,337.05,317.23,48.5,7.1,11.0,7,18,690.0,7753,9,2.6,NONE,6,credit,False
ORD-20250052,Казань,C,Электроника,mobile,False,False,2023-01-14 00:00:00,1,356.44,22.0,278.03,203.54,74.49,26.8,8.4,4.7,5,22,300.0,3511,7,4.7,NONE,5,card,False
ORD-20250053,Москва,A,Продукты,online,False,True,2023-01-14 06:00:00,2,493.49,21.1,778.72,413.04,365.68,47.0,9.8,58.4,10,55,706.0,1471,7,5.0,SALE20,2,wallet,True
ORD-20250054,Новосибирск,B,Продукты,online,False,False,2023-01-14 12:00:00,6,249.67,2.1,1466.55,935.34,531.21,36.2,8.3,47.0,16,19,804.0,5919,9,5.0,NEWYEAR,7,card,True
ORD-20250055,СПб,B,Электроника,mobile,True,True,2023-01-14 18:00:00,4,275.15,22.8,849.65,542.01,307.64,36.2,6.7,12.5,14,20,281.0,7598,11,4.7,NONE,6,wallet,False
ORD-20250056,СПб,C,Электроника,mobile,True,False,2023-01-15 00:00:00,3,293.93,4.2,844.77,526.3,318.47,37.7,6.0,70.6,13,69,1160.0,354,2,3.7,NONE,4,wallet,True
ORD-20250057,Москва,A,Продукты,online,True,False,2023-01-15 06:00:00,6,520.19,21.7,2443.85,1626.7,817.15,33.4,8.9,27.2,15,20,392.0,7488,9,3.4,NONE,8,wallet,True
ORD-20250058,СПб,B,Спорт,mobile,False,False,2023-01-15 12:00:00,7,67.73,14.0,407.72,257.89,149.83,36.7,6.0,79.3,19,54,223.0,5834,6,4.5,NONE,7,credit,False
ORD-20250059,Москва,C,Одежда,online,False,False,2023-01-15 18:00:00,7,117.43,7.1,763.65,538.29,225.36,29.5,8.1,25.2,21,43,282.0,1474,9,3.7,NEWYEAR,8,credit,False
ORD-20250060,Москва,C,Спорт,mobile,False,False,2023-01-16 00:00:00,4,258.32,7.9,951.64,435.51,516.13,54.2,7.2,30.6,13,35,411.0,2955,9,4.8,NONE,4,credit,True
ORD-20250061,Самара,B,Электроника,store,False,False,2023-01-16 06:00:00,3,59.43,6.7,166.35,78.54,87.81,52.8,10.0,55.4,10,67,371.0,1296,4,4.8,SALE20,7,cash,False
ORD-20250062,СПб,B,Электроника,online,False,False,2023-01-16 12:00:00,4,333.34,18.1,1092.01,672.94,419.07,38.4,9.6,15.4,15,35,319.0,4499,6,3.7,NONE,7,credit,True
ORD-20250063,Самара,C,Одежда,online,False,False,2023-01-16 18:00:00,6,324.81,18.4,1590.29,906.3,683.99,43.0,8.6,43.7,13,26,267.0,2340,11,3.1,NONE,10,card,True
ORD-20250064,СПб,B,Электроника,mobile,True,False,2023-01-17 00:00:00,4,190.19,10.7,679.37,348.93,330.44,48.6,10.0,91.0,14,38,250.0,5088,9,3.4,SALE20,8,cash,True
ORD-20250065,Казань,B,Электроника,online,True,False,2023-01-17 06:00:00,4,116.82,10.7,417.29,231.94,185.35,44.4,8.5,17.3,11,33,848.0,4858,8,4.1,NONE,5,cash,False
ORD-20250066,СПб,C,Одежда,online,True,False,2023-01-17 12:00:00,6,321.35,5.3,1825.92,1177.41,648.51,35.5,7.5,35.9,11,57,505.0,6324,11,5.0,NONE,9,card,True
ORD-20250067,СПб,B,Продукты,mobile,False,False,2023-01-17 18:00:00,5,245.95,10.0,1106.77,781.32,325.45,29.4,6.0,16.7,12,53,654.0,3437,11,4.4,NEWYEAR,6,credit,True
ORD-20250068,Новосибирск,B,Спорт,store,False,False,2023-01-18 00:00:00,6,417.81,16.6,2090.7,1054.68,1036.02,49.6,9.6,58.5,15,23,301.0,4848,1,4.6,NEWYEAR,9,wallet,False
ORD-20250069,Казань,B,Мебель,store,False,False,2023-01-18 06:00:00,4,48.27,15.6,162.95,87.62,75.33,46.2,7.3,83.4,12,64,374.0,6810,3,4.1,NONE,5,cash,False
ORD-20250070,Москва,B,Мебель,online,False,False,2023-01-18 12:00:00,6,113.78,3.2,660.81,325.13,335.68,50.8,10.0,29.7,13,63,292.0,3426,10,3.9,SALE20,8,wallet,True
ORD-20250071,Новосибирск,B,Мебель,store,False,False,2023-01-18 18:00:00,2,10.51,18.3,17.17,12.86,4.31,25.1,6.0,53.5,14,43,359.0,7844,6,5.0,SALE20,6,wallet,False
ORD-20250072,Новосибирск,B,Продукты,online,False,False,2023-01-19 00:00:00,5,229.59,24.7,864.42,394.15,470.27,54.4,9.7,20.6,13,38,671.0,3715,13,4.8,SALE20,7,credit,False
ORD-20250073,СПб,A,Электроника,online,True,True,2023-01-19 06:00:00,6,619.12,20.3,2960.63,1472.38,1488.25,50.3,10.0,53.8,15,43,369.0,3546,10,3.7,SUMMER,9,cash,True
ORD-20250074,СПб,B,Одежда,mobile,True,False,2023-01-19 12:00:00,3,326.19,0.2,976.6,552.21,424.39,43.5,7.6,19.9,6,44,421.0,4786,3,5.0,SALE20,3,card,True
ORD-20250075,Казань,B,Электроника,store,False,False,2023-01-19 18:00:00,4,18.74,20.6,59.52,30.34,29.18,49.0,7.9,13.4,7,34,336.0,114,12,4.5,SUMMER,7,cash,True
ORD-20250076,Самара,A,Продукты,online,False,False,2023-01-20 00:00:00,5,30.97,0.7,153.79,100.59,53.2,34.6,8.4,42.7,10,40,598.0,4259,2,4.3,NONE,7,card,False
ORD-20250077,Казань,B,Мебель,online,False,False,2023-01-20 06:00:00,3,362.95,3.4,1051.84,480.54,571.3,54.3,10.0,42.9,14,37,350.0,7816,12,4.9,NONE,7,wallet,True
ORD-20250078,Москва,B,Продукты,online,False,False,2023-01-20 12:00:00,4,55.47,6.1,208.35,125.94,82.41,39.6,8.4,16.3,16,68,730.0,5061,10,3.2,NONE,5,credit,False
ORD-20250079,Москва,A,Продукты,online,True,False,2023-01-20 18:00:00,5,165.09,12.3,723.93,368.48,355.45,49.1,7.5,19.4,15,25,382.0,3367,8,4.7,SALE20,6,card,False
ORD-20250080,Новосибирск,A,Мебель,mobile,False,False,2023-01-21 00:00:00,6,493.12,21.1,2334.45,1493.09,841.36,36.0,8.3,76.3,8,21,1178.0,3664,2,4.0,NONE,9,credit,True
ORD-20250081,СПб,C,Электроника,mobile,True,False,2023-01-21 06:00:00,3,98.94,20.4,236.27,114.63,121.64,51.5,7.3,34.5,7,24,722.0,4017,10,3.7,NONE,7,wallet,True
ORD-20250082,Казань,B,Мебель,online,True,False,2023-01-21 12:00:00,7,250.19,9.3,1588.48,808.92,779.56,49.1,8.9,48.7,22,26,438.0,874,7,5.0,NEWYEAR,7,wallet,True
ORD-20250083,Самара,C,Мебель,online,True,False,2023-01-21 18:00:00,6,152.77,11.8,808.48,565.13,243.35,30.1,7.4,26.7,13,56,459.0,5014,6,3.3,SALE20,10,wallet,False
ORD-20250084,Москва,B,Спорт,mobile,False,False,2023-01-22 00:00:00,6,178.45,4.3,1024.66,737.77,286.89,28.0,8.8,52.4,14,36,773.0,973,9,4.4,NEWYEAR,8,card,False
ORD-20250085,Москва,C,Продукты,online,False,False,2023-01-22 06:00:00,1,100.33,23.8,76.45,42.69,33.76,44.2,7.3,50.3,7,43,509.0,6104,3,4.6,NONE,4,credit,True
ORD-20250086,СПб,B,Спорт,online,True,False,2023-01-22 12:00:00,3,209.68,6.8,586.27,367.17,219.1,37.4,7.7,23.2,5,60,568.0,896,9,5.0,SUMMER,7,card,False
ORD-20250087,Самара,B,Одежда,online,False,False,2023-01-22 18:00:00,1,99.57,5.1,94.49,61.67,32.82,34.7,9.8,31.2,17,58,1041.0,3847,7,5.0,NONE,3,credit,True
ORD-20250088,Новосибирск,B,Продукты,mobile,False,False,2023-01-23 00:00:00,7,477.79,24.7,2518.45,1708.16,810.29,32.2,7.7,71.1,19,65,485.0,7541,7,5.0,NEWYEAR,11,credit,True
ORD-20250089,СПб,B,Мебель,store,False,False,2023-01-23 06:00:00,4,165.04,5.3,625.18,381.81,243.37,38.9,8.7,51.3,9,51,193.0,310,13,4.3,NONE,8,card,False
ORD-20250090,СПб,C,Продукты,online,True,False,2023-01-23 12:00:00,3,275.4,4.5,789.02,492.02,297.0,37.6,6.3,23.9,15,57,479.0,455,5,4.8,NONE,6,cash,False
ORD-20250091,СПб,B,Одежда,online,False,False,2023-01-23 18:00:00,2,153.4,24.6,231.33,158.48,72.85,31.5,8.1,54.5,8,18,715.0,4978,5,3.9,SALE20,2,cash,True
ORD-20250092,Самара,B,Продукты,store,False,False,2023-01-24 00:00:00,5,138.48,1.9,679.22,416.99,262.23,38.6,8.3,34.1,18,34,507.0,5413,12,3.8,NONE,7,credit,False
ORD-20250093,Казань,C,Продукты,mobile,False,False,2023-01-24 06:00:00,1,184.9,0.8,183.42,112.14,71.28,38.9,9.2,61.9,11,44,281.0,3593,7,4.5,NONE,2,card,True
ORD-20250094,Самара,B,Электроника,mobile,False,False,2023-01-24 12:00:00,3,368.93,11.4,980.62,524.54,456.08,46.5,6.5,41.7,18,65,432.0,1496,13,3.7,NONE,3,card,True
ORD-20250095,СПб,A,Спорт,online,False,False,2023-01-24 18:00:00,1,16.69,7.4,15.45,10.84,4.61,29.8,8.5,31.2,9,46,809.0,4333,13,3.5,NONE,1,credit,True
ORD-20250096,Самара,B,Мебель,online,False,False,2023-01-25 00:00:00,6,93.84,21.8,440.32,256.51,183.81,41.7,8.2,62.5,12,55,253.0,5771,3,4.9,NONE,10,wallet,True
ORD-20250097,СПб,A,Электроника,store,True,False,2023-01-25 06:00:00,6,545.18,18.4,2669.22,1643.74,1025.48,38.4,7.7,53.8,17,25,225.0,2195,2,3.4,SUMMER,7,wallet,False
ORD-20250098,Новосибирск,C,Одежда,mobile,False,False,2023-01-25 12:00:00,6,137.22,13.5,712.15,455.58,256.57,36.0,7.1,22.5,8,58,320.0,1151,3,4.0,NONE,6,card,True
ORD-20250099,Казань,B,Продукты,mobile,False,False,2023-01-25 18:00:00,7,429.14,0.3,2994.99,1833.53,1161.46,38.8,10.0,69.1,13,67,707.0,36,1,4.9,SUMMER,10,credit,True
ORD-20250100,Москва,C,Продукты,mobile,False,False,2023-01-26 00:00:00,4,56.46,6.6,210.95,122.92,88.03,41.7,7.9,61.7,15,36,197.0,7710,11,4.1,NONE,7,card,False
ORD-20250101,Самара,B,Электроника,online,False,False,2023-01-26 06:00:00,5,408.37,22.3,1586.51,945.02,641.49,40.4,9.0,47.0,13,59,469.0,1050,9,3.3,NEWYEAR,7,credit,True
ORD-20250102,Москва,B,Одежда,online,False,False,2023-01-26 12:00:00,7,314.83,6.2,2067.19,992.22,1074.97,52.0,10.0,54.4,18,28,545.0,5279,2,3.0,SUMMER,9,wallet,True
ORD-20250103,Новосибирск,B,Спорт,mobile,False,False,2023-01-26 18:00:00,6,92.56,0.7,551.47,384.2,167.27,30.3,7.5,63.0,20,64,447.0,4649,5,4.4,SALE20,8,credit,True
ORD-20250104,Казань,C,Одежда,online,False,False,2023-01-27 00:00:00,4,12.04,5.8,45.35,21.51,23.84,52.6,10.0,38.5,9,53,247.0,4287,1,3.7,NONE,8,cash,True
ORD-20250105,Новосибирск,A,Одежда,online,True,False,2023-01-27 06:00:00,6,618.63,18.9,3010.27,2246.0,764.27,25.4,6.8,29.2,15,49,471.0,5165,9,4.1,SALE20,8,cash,False
ORD-20250106,Новосибирск,B,Спорт,mobile,False,False,2023-01-27 12:00:00,6,151.55,21.5,713.81,528.89,184.92,25.9,8.0,41.6,16,48,289.0,1350,12,5.0,SUMMER,6,card,False
ORD-20250107,Казань,B,Спорт,store,False,False,2023-01-27 18:00:00,6,128.27,7.1,714.97,510.99,203.98,28.5,6.9,63.0,11,61,474.0,994,6,4.3,NONE,6,wallet,True
ORD-20250108,Москва,B,Электроника,online,False,False,2023-01-28 00:00:00,4,100.09,5.8,377.12,178.37,198.75,52.7,9.2,57.2,11,31,313.0,4341,10,5.0,SALE20,7,wallet,True
ORD-20250109,Москва,C,Одежда,online,False,False,2023-01-28 06:00:00,3,137.97,20.9,327.39,149.87,177.52,54.2,8.8,51.0,9,27,510.0,3496,7,4.2,NONE,3,card,False
ORD-20250110,СПб,B,Спорт,mobile,True,False,2023-01-28 12:00:00,6,266.69,4.9,1521.74,966.61,555.13,36.5,8.5,27.0,16,49,438.0,4496,10,5.0,NEWYEAR,10,cash,False
ORD-20250111,Москва,B,Спорт,online,False,False,2023-01-28 18:00:00,1,244.07,9.1,221.86,110.85,111.01,50.0,9.5,6.1,10,62,270.0,5030,13,4.5,NONE,1,cash,True
ORD-20250112,Самара,A,Продукты,mobile,False,False,2023-01-29 00:00:00,7,597.94,9.5,3787.93,2773.45,1014.48,26.8,6.9,26.7,13,65,558.0,7801,6,4.2,SALE20,10,card,True
ORD-20250113,Москва,B,Мебель,store,False,False,2023-01-29 06:00:00,5,106.7,9.9,480.67,311.07,169.6,35.3,7.6,24.7,13,65,422.0,3408,7,3.8,NONE,9,cash,True
ORD-20250114,Самара,C,Одежда,online,True,False,2023-01-29 12:00:00,6,281.85,1.9,1658.97,1174.09,484.88,29.2,9.2,25.1,12,26,508.0,5893,5,4.1,NEWYEAR,6,cash,False
ORD-20250115,Москва,B,Одежда,online,False,True,2023-01-29 18:00:00,7,455.52,21.1,2515.82,1882.45,633.37,25.2,6.7,27.0,17,18,483.0,5589,9,4.3,NONE,7,credit,True
ORD-20250116,Москва,C,Спорт,store,False,False,2023-01-30 00:00:00,6,21.05,5.4,119.47,87.39,32.08,26.9,7.5,52.9,11,28,667.0,2075,6,4.3,NEWYEAR,10,cash,False
ORD-20250117,Москва,B,Мебель,mobile,True,False,2023-01-30 06:00:00,7,378.1,9.2,2403.17,1157.25,1245.92,51.8,8.1,22.1,14,51,563.0,7473,13,3.5,NONE,8,wallet,True
ORD-20250118,Новосибирск,A,Мебель,online,False,False,2023-01-30 12:00:00,5,202.29,15.9,850.64,633.52,217.12,25.5,6.9,27.3,12,39,525.0,7197,9,4.4,SUMMER,6,credit,False
ORD-20250119,Самара,C,Одежда,online,False,False,2023-01-30 18:00:00,1,172.03,20.1,137.45,64.75,72.7,52.9,7.4,11.2,10,22,209.0,2610,6,3.5,NONE,3,wallet,False
ORD-20250120,Новосибирск,B,Электроника,mobile,True,False,2023-01-31 00:00:00,3,39.93,14.7,102.17,69.84,32.33,31.6,8.7,75.5,14,38,375.0,2877,6,3.9,SUMMER,4,cash,True
ORD-20250121,Казань,B,Электроника,online,False,True,2023-01-31 06:00:00,7,154.23,9.0,982.45,662.96,319.49,32.5,7.6,55.8,16,51,156.0,6344,1,4.0,NONE,9,wallet,True
ORD-20250122,Казань,C,Мебель,mobile,False,False,2023-01-31 12:00:00,2,48.7,0.1,97.29,50.0,47.29,48.6,8.1,24.2,11,20,245.0,5512,7,3.8,SUMMER,3,cash,False
ORD-20250123,Москва,C,Одежда,online,False,True,2023-01-31 18:00:00,1,93.08,12.4,81.54,46.04,35.5,43.5,8.3,26.2,7,64,679.0,1898,10,3.4,SALE20,4,wallet,True
ORD-20250124,Москва,C,Продукты,online,False,False,2023-02-01 00:00:00,3,19.55,14.1,50.38,32.2,18.18,36.1,6.4,26.6,7,38,354.0,1360,3,3.7,NONE,3,wallet,True
ORD-20250125,Самара,B,Мебель,online,True,False,2023-02-01 06:00:00,4,470.05,9.0,1710.99,1025.38,685.61,40.1,7.5,103.8,14,27,672.0,4622,9,5.0,SUMMER,6,cash,False
ORD-20250126,Казань,B,Мебель,store,True,False,2023-02-01 12:00:00,4,448.71,15.7,1513.04,1000.36,512.68,33.9,9.5,25.5,18,38,311.0,5975,8,4.7,NONE,6,cash,False
ORD-20250127,Новосибирск,B,Электроника,online,False,False,2023-02-01 18:00:00,6,328.99,19.7,1585.06,775.6,809.46,51.1,7.3,36.7,14,43,402.0,6995,5,4.6,NONE,8,credit,True
ORD-20250128,Казань,B,Продукты,mobile,True,False,2023-02-02 00:00:00,2,169.35,0.9,335.65,192.04,143.61,42.8,8.9,34.9,16,58,451.0,3107,11,4.3,NONE,3,card,True
ORD-20250129,Москва,A,Мебель,store,False,False,2023-02-02 06:00:00,3,661.1,20.3,1580.7,1051.47,529.23,33.5,10.0,36.7,7,22,789.0,7023,10,4.4,SALE20,6,cash,False
ORD-20250130,Самара,C,Продукты,online,False,False,2023-02-02 12:00:00,5,364.64,14.8,1553.38,702.77,850.61,54.8,9.3,65.6,14,42,635.0,6023,3,4.4,SALE20,6,cash,True
ORD-20250131,Москва,A,Мебель,store,False,False,2023-02-02 18:00:00,5,559.05,8.1,2568.83,1657.14,911.69,35.5,7.8,54.3,9,51,349.0,3334,10,3.2,NONE,6,wallet,False
ORD-20250132,Новосибирск,C,Одежда,mobile,False,False,2023-02-03 00:00:00,6,257.99,17.3,1280.15,783.78,496.37,38.8,5.7,54.1,14,60,350.0,6159,3,5.0,SALE20,6,card,False
