listing_id,district,rooms,area_sqm,floor,total_floors,building_age_years,has_parking,metro_distance_min,renovation,price_k_rub,price_per_sqm,balcony,is_new_building,listing_date,days_on_market,seller_type,mortgage_approved
RE-7044,suburb,3,56.7,18,23,10,True,35,cosmetic,3628,63986,True,False,2024-05-28,92,developer,False
RE-7045,suburb,4,90.1,7,12,25,True,28,euro,7117,78990,True,False,2024-05-30,31,owner,False
RE-7046,south,4,87.8,8,12,12,True,7,cosmetic,5418,61708,True,False,2024-06-01,120,agency,False
RE-7047,east,3,67.8,16,24,3,True,3,none,4707,69425,False,False,2024-06-03,134,owner,False
RE-7048,suburb,2,63.7,2,10,22,True,26,cosmetic,3524,55322,False,False,2024-06-05,129,agency,False
RE-7049,west,4,82.0,8,11,40,True,21,cosmetic,3841,46841,True,False,2024-06-07,18,developer,True
RE-7050,suburb,4,103.5,18,26,45,False,43,cosmetic,3000,28986,False,False,2024-06-09,128,agency,True
RE-7051,suburb,5,103.2,24,27,21,True,24,cosmetic,6544,63411,True,False,2024-06-11,132,developer,False
RE-7052,suburb,1,28.0,13,17,19,True,42,none,3000,107143,False,False,2024-06-13,37,owner,False
RE-7053,north,3,69.6,10,11,47,True,11,cosmetic,3000,43103,True,False,2024-06-15,153,agency,True
RE-7054,east,5,96.4,11,15,40,True,21,none,5088,52780,False,False,2024-06-17,96,developer,False
RE-7055,center,3,63.0,17,26,49,True,8,euro,7697,122175,True,False,2024-06-19,87,agency,False
RE-7056,west,5,108.2,14,18,54,False,26,none,3000,27726,False,False,2024-06-21,131,owner,False
RE-7057,suburb,1,37.4,1,8,49,True,10,none,3000,80214,True,False,2024-06-23,94,developer,True
RE-7058,east,1,28.0,13,14,56,False,23,cosmetic,3000,107143,False,False,2024-06-25,100,owner,False
RE-7059,south,4,94.9,10,16,24,False,16,cosmetic,3723,39231,True,False,2024-06-27,59,agency,True
RE-7060,center,2,60.3,17,21,23,True,9,cosmetic,3019,50066,False,False,2024-06-29,167,developer,False
RE-7061,suburb,3,80.5,22,29,19,True,6,cosmetic,3264,40547,True,False,2024-07-01,174,owner,True
RE-7062,center,3,73.2,24,30,14,True,24,euro,7861,107391,False,False,2024-07-03,27,owner,True
RE-7063,center,3,79.9,15,20,44,False,42,cosmetic,3000,37547,False,False,2024-07-05,133,owner,False
RE-7064,north,5,90.0,9,10,42,True,10,cosmetic,5566,61844,False,False,2024-07-07,9,owner,True
RE-7065,center,1,30.5,11,16,48,False,19,cosmetic,3000,98361,True,False,2024-07-09,69,owner,False
RE-7066,east,4,80.1,5,7,10,False,11,none,3000,37453,True,False,2024-07-11,174,agency,True
RE-7067,east,5,106.0,23,28,29,False,36,cosmetic,4674,44094,True,False,2024-07-13,35,owner,False
RE-7068,south,4,82.4,21,22,13,True,19,none,4342,52694,True,False,2024-07-15,70,agency,False
RE-7069,center,2,49.7,21,27,53,False,43,cosmetic,3000,60362,False,False,2024-07-17,43,owner,False
RE-7070,center,1,48.1,8,11,16,True,12,none,3000,62370,False,False,2024-07-19,132,owner,True
RE-7071,south,4,85.6,8,10,8,True,5,euro,7931,92652,False,False,2024-07-21,86,owner,True
RE-7072,center,3,72.3,21,22,34,True,27,cosmetic,4959,68589,True,False,2024-07-23,108,agency,False
RE-7073,west,1,31.1,14,22,52,False,30,euro,3981,128006,False,False,2024-07-25,169,agency,False
RE-7074,north,2,51.6,17,25,54,True,44,cosmetic,3000,58140,False,False,2024-07-27,96,owner,True
RE-7075,south,5,105.0,12,20,5,False,39,none,3602,34305,False,False,2024-07-29,133,developer,True
RE-7076,south,2,54.6,11,12,19,True,40,euro,6339,116099,True,False,2024-07-31,22,agency,False
RE-7077,south,1,42.3,16,20,9,False,29,cosmetic,3000,70922,True,False,2024-08-02,42,owner,True
RE-7078,center,4,100.2,20,29,18,True,17,euro,6869,68553,False,False,2024-08-04,170,developer,False
RE-7079,center,1,35.5,9,15,32,True,20,cosmetic,3000,84507,True,False,2024-08-06,155,owner,True
RE-7080,suburb,5,109.7,20,22,16,False,7,cosmetic,6394,58286,True,False,2024-08-08,119,owner,True
RE-7081,center,5,95.8,6,8,4,True,20,euro,8875,92641,False,False,2024-08-10,71,agency,False
RE-7082,east,5,104.3,10,13,30,True,17,cosmetic,6180,59252,False,False,2024-08-12,39,owner,False
RE-7083,east,5,112.5,22,30,3,True,3,cosmetic,6936,61653,False,False,2024-08-14,154,owner,True
RE-7084,south,2,57.9,23,25,13,True,10,cosmetic,4082,70501,False,False,2024-08-16,142,agency,False
RE-7085,south,2,52.7,23,30,0,True,24,cosmetic,4637,87989,True,True,2024-08-18,47,owner,False
RE-7086,suburb,2,58.1,8,15,5,True,17,euro,5689,97917,True,False,2024-08-20,108,agency,False
RE-7087,suburb,3,72.9,21,30,26,True,44,cosmetic,4535,62209,True,False,2024-08-22,113,developer,False
RE-7088,north,5,114.6,23,30,51,False,22,cosmetic,4763,41562,False,False,2024-08-24,88,agency,False
RE-7089,south,4,89.3,24,27,46,True,43,euro,6612,74043,True,False,2024-08-26,167,agency,False
RE-7090,north,4,84.2,1,9,5,True,30,cosmetic,5859,69584,False,False,2024-08-28,26,agency,False
RE-7091,east,5,107.7,18,20,2,True,3,cosmetic,9448,87725,True,True,2024-08-30,50,developer,False
RE-7092,west,4,63.6,24,27,20,True,10,cosmetic,4479,70425,False,False,2024-09-01,21,owner,True
RE-7093,north,2,54.1,19,21,39,False,32,none,3000,55453,True,False,2024-09-03,126,owner,False
RE-7094,south,3,39.8,6,8,44,False,25,cosmetic,3000,75377,True,False,2024-09-05,117,agency,False
RE-7095,suburb,3,55.2,19,20,49,False,14,none,3000,54348,True,False,2024-09-07,177,agency,False
RE-7096,center,1,36.6,3,5,20,True,24,none,3000,81967,True,False,2024-09-09,99,owner,False
RE-7097,east,4,90.8,12,14,10,True,40,cosmetic,5834,64251,False,False,2024-09-11,31,agency,True
RE-7098,west,4,77.7,16,20,1,True,18,cosmetic,7057,90824,True,True,2024-09-13,83,owner,False
RE-7099,north,4,81.3,11,12,8,True,3,euro,7861,96691,True,False,2024-09-15,20,developer,True
RE-7100,center,3,80.0,17,18,3,True,15,none,5305,66312,False,False,2024-09-17,122,owner,False
RE-7101,center,4,83.1,6,15,51,False,42,none,3000,36101,False,False,2024-09-19,122,owner,False
RE-7102,suburb,5,122.9,15,16,16,True,34,euro,9272,75443,True,False,2024-09-21,155,owner,False
RE-7103,center,3,69.0,16,17,49,True,38,none,3702,53652,True,False,2024-09-23,64,owner,False
RE-7104,north,3,72.3,16,17,33,True,41,none,4420,61134,True,False,2024-09-25,59,owner,False
RE-7105,center,1,45.9,7,9,32,True,7,none,3000,65359,False,False,2024-09-27,17,owner,False
RE-7106,center,4,88.0,8,13,27,True,14,cosmetic,4709,53511,True,False,2024-09-29,77,owner,False
RE-7107,west,5,97.0,7,15,49,True,4,euro,8018,82660,True,False,2024-10-01,88,owner,False
RE-7108,north,4,86.1,12,19,2,False,2,euro,6305,73229,True,True,2024-10-03,137,owner,False
RE-7109,east,5,104.7,15,21,5,True,37,cosmetic,6385,60984,False,False,2024-10-05,136,owner,True
RE-7110,east,5,94.1,9,10,25,True,42,none,5649,60032,True,False,2024-10-07,29,owner,False
RE-7111,suburb,4,85.0,10,17,23,True,8,cosmetic,3949,46459,False,False,2024-10-09,54,owner,True
RE-7112,center,3,63.1,7,8,32,False,33,cosmetic,3480,55151,True,False,2024-10-11,94,owner,False
RE-7113,suburb,1,40.4,6,12,44,True,25,none,3000,74257,False,False,2024-10-13,63,owner,False
RE-7114,west,1,33.3,16,20,35,False,4,none,3000,90090,True,False,2024-10-15,9,owner,False
RE-7115,north,2,48.7,20,28,15,False,41,cosmetic,3000,61602,True,False,2024-10-17,152,agency,True
RE-7116,suburb,3,68.2,7,10,19,True,39,none,3631,53240,True,False,2024-10-19,132,developer,True
RE-7117,suburb,4,88.8,21,27,45,False,26,cosmetic,3000,33784,False,False,2024-10-21,96,developer,False
RE-7118,north,3,73.9,14,18,12,True,32,cosmetic,5003,67700,False,False,2024-10-23,60,agency,True
RE-7119,suburb,1,28.0,5,10,30,False,19,none,3000,107143,True,False,2024-10-25,152,agency,True
RE-7120,east,2,42.7,9,18,32,True,36,cosmetic,3303,77354,True,False,2024-10-27,11,owner,False
RE-7121,west,5,113.8,1,8,45,False,21,euro,6194,54429,False,False,2024-10-29,83,agency,False
RE-7122,suburb,5,101.7,1,5,42,True,44,cosmetic,6400,62930,True,False,2024-10-31,145,agency,True
RE-7123,south,2,39.7,9,14,27,True,4,euro,5576,140453,True,False,2024-11-02,171,agency,True
RE-7124,suburb,5,108.6,11,18,18,True,9,cosmetic,5697,52459,True,False,2024-11-04,48,developer,False
RE-7125,south,4,90.7,20,24,22,False,43,euro,5612,61874,False,False,2024-11-06,118,agency,False
RE-7126,suburb,5,92.8,4,6,24,True,14,none,6102,65754,False,False,2024-11-08,38,agency,False
RE-7127,west,5,106.8,21,26,13,True,15,cosmetic,7257,67949,False,False,2024-11-10,25,agency,True
RE-7128,north,4,92.9,6,7,37,False,36,none,3000,32293,False,False,2024-11-12,66,owner,True
RE-7129,south,2,54.0,4,6,12,False,10,cosmetic,3000,55556,True,False,2024-11-14,159,developer,True
RE-7130,south,4,92.1,17,21,38,True,24,cosmetic,4254,46189,True,False,2024-11-16,125,owner,False
RE-7131,center,2,39.8,19,27,45,True,14,none,3179,79874,True,False,2024-11-18,90,developer,True
RE-7132,center,2,53.6,15,23,57,True,10,euro,3867,72146,True,False,2024-11-20,54,agency,True
RE-7133,south,4,84.6,3,6,7,False,43,cosmetic,4333,51217,True,False,2024-11-22,29,owner,False
RE-7134,center,3,65.1,3,7,45,True,10,none,3390,52074,True,False,2024-11-24,52,agency,False
RE-7135,north,3,76.0,10,12,5,False,6,none,4315,56776,True,False,2024-11-26,31,owner,False
RE-7136,west,2,62.8,11,18,20,True,30,cosmetic,3000,47771,False,False,2024-11-28,37,agency,False
RE-7137,west,3,83.4,24,27,10,True,39,cosmetic,4858,58249,True,False,2024-11-30,125,agency,False
RE-7138,west,1,43.5,7,15,9,True,7,cosmetic,4602,105793,True,False,2024-12-02,28,agency,False
RE-7139,south,4,86.1,5,13,10,True,32,none,5274,61254,False,False,2024-12-04,13,developer,True
RE-7140,suburb,3,71.8,23,30,2,False,25,euro,5099,71017,False,True,2024-12-06,99,owner,False
RE-7141,east,5,111.1,4,7,49,True,37,euro,7689,69208,False,False,2024-12-08,55,owner,False
RE-7142,center,3,70.0,1,10,3,True,7,cosmetic,4969,70986,False,False,2024-12-10,84,agency,False
RE-7143,center,3,70.0,11,18,23,False,43,cosmetic,3000,42857,False,False,2024-12-12,29,owner,False
RE-7144,west,1,39.6,10,16,41,False,28,euro,3000,75758,True,False,2024-12-14,41,agency,False
RE-7145,north,1,32.5,15,23,59,False,38,euro,3000,92308,True,False,2024-12-16,82,owner,True
RE-7146,east,2,45.2,22,30,51,True,17,cosmetic,3000,66372,False,False,2024-12-18,125,owner,False
RE-7147,suburb,2,47.7,23,24,8,True,42,euro,6141,128742,True,False,2024-12-20,77,agency,True
RE-7148,center,2,56.1,7,15,59,False,28,euro,3896,69447,True,False,2024-12-22,99,developer,False
RE-7149,center,2,51.0,24,30,39,True,7,euro,5892,115529,True,False,2024-12-24,96,owner,True
