campaign_id,channel,month,season,ad_spend,impressions,clicks,conversion_rate,conversions,revenue,cost_per_click,roi_pct,is_profitable,campaign_type,audience_size_k,creative_score,bid_strategy,days_running,budget_daily,comment
CMP-1045,email,10,autumn,830.66,7257,321,0.0362,11,825.36,2.59,-0.6,False,brand,142,3.5,manual,30,276.89,Масштабировать
CMP-1046,social,4,spring,14399.11,121901,3028,0.0406,122,8621.2,4.76,-40.1,False,brand,58,2.44,target_roas,20,1028.51,Остановить
CMP-1047,search,3,spring,7493.4,91127,5234,0.0393,205,20166.85,1.43,169.1,True,brand,357,3.05,manual,31,749.34,OK
CMP-1048,email,5,spring,11849.66,106922,5968,0.0631,376,31674.03,1.99,167.3,True,performance,266,3.95,target_roas,36,1692.81,Масштабировать
CMP-1049,search,1,winter,1699.58,23407,796,0.0227,18,2068.04,2.14,21.7,True,brand,490,4.55,auto,35,80.93,Тест A/B
CMP-1050,search,2,winter,7556.55,76867,2030,0.0358,72,7374.54,3.72,-2.4,False,retargeting,377,4.68,auto,28,444.5,Остановить
CMP-1051,search,2,winter,7615.25,68591,2522,0.0354,89,6973.11,3.02,-8.4,False,retargeting,309,3.01,manual,5,380.76,OK
CMP-1052,email,10,autumn,14098.48,203677,10678,0.0719,767,53773.42,1.32,281.4,True,retargeting,259,3.08,target_roas,33,640.84,Тест A/B
CMP-1053,email,9,autumn,8790.06,80505,3431,0.0595,204,24261.83,2.56,176.0,True,brand,36,4.2,manual,18,303.11,OK
CMP-1054,email,9,autumn,7365.6,73604,3696,0.0513,189,18412.53,1.99,150.0,True,brand,44,2.26,auto,34,306.9,Тест A/B
CMP-1055,email,6,summer,4371.15,39669,1453,0.0462,67,7778.4,3.01,77.9,True,retargeting,311,4.35,target_roas,25,230.06,OK
CMP-1056,social,9,autumn,5307.75,46752,1947,0.0228,44,2177.04,2.73,-59.0,False,brand,12,2.98,target_roas,40,204.14,Масштабировать
CMP-1057,social,2,winter,8049.75,65589,1600,0.0275,43,4645.84,5.03,-42.3,False,performance,30,1.46,target_roas,17,536.65,OK
CMP-1058,search,11,autumn,6864.22,57575,2691,0.04,107,9733.35,2.55,41.8,True,retargeting,117,1.29,target_roas,42,236.7,OK
CMP-1059,search,7,summer,813.38,7501,150,0.0249,3,149.26,5.42,-81.6,False,brand,443,4.37,auto,38,35.36,Тест A/B
