timestamp,hour,day_of_week,month,is_weekend,outdoor_temp_c,energy_kwh,hvac_mode,occupancy_est,solar_gen_kwh,grid_import_kwh,is_anomaly,cost_rub
2024-01-02 10:00:00,10,1,1,False,8.2,6.598,heat,2,0.144,6.165,False,39.68
2024-01-02 11:00:00,11,1,1,False,7.8,7.086,heat,2,0.122,6.603,False,40.31
2024-01-02 12:00:00,12,1,1,False,2.2,8.507,heat,2,0.114,8.007,False,54.71
2024-01-02 13:00:00,13,1,1,False,6.5,7.22,heat,2,0.179,6.737,False,41.11
2024-01-02 14:00:00,14,1,1,False,7.5,6.686,heat,6,0.296,6.253,False,42.29
2024-01-02 15:00:00,15,1,1,False,7.6,7.061,heat,3,0.138,6.707,False,38.04
2024-01-02 16:00:00,16,1,1,False,0.8,8.838,heat,5,0.0,8.588,False,57.26
2024-01-02 17:00:00,17,1,1,False,6.0,6.814,heat,1,0.27,6.685,False,36.5
2024-01-02 18:00:00,18,1,1,False,6.0,8.27,heat,7,0.124,8.27,False,40.87
2024-01-02 19:00:00,19,1,1,False,8.4,7.362,heat,5,0.0,7.362,False,40.77
2024-01-02 20:00:00,20,1,1,False,4.2,7.806,heat,4,0.0,7.806,False,35.38
2024-01-02 21:00:00,21,1,1,False,1.5,8.756,heat,10,0.0,8.756,False,52.21
2024-01-02 22:00:00,22,1,1,False,2.2,8.254,heat,5,0.0,8.254,False,49.1
2024-01-02 23:00:00,23,1,1,False,6.1,5.525,heat,4,0.0,5.525,False,34.42
2024-01-03 00:00:00,0,2,1,False,8.5,5.559,heat,2,0.0,5.559,False,33.02
2024-01-03 01:00:00,1,2,1,False,3.9,5.998,heat,3,0.0,5.998,False,27.42
2024-01-03 02:00:00,2,2,1,False,5.9,5.979,heat,1,0.0,5.979,False,37.53
2024-01-03 03:00:00,3,2,1,False,-1.1,7.323,heat,1,0.0,7.323,False,40.77
2024-01-03 04:00:00,4,2,1,False,-1.4,7.313,heat,3,0.0,7.313,False,41.82
2024-01-03 05:00:00,5,2,1,False,6.4,5.752,heat,3,0.1,5.752,False,30.65
2024-01-03 06:00:00,6,2,1,False,6.4,6.123,heat,1,0.0,6.123,False,32.76
2024-01-03 07:00:00,7,2,1,False,7.1,7.118,heat,2,0.064,6.989,False,37.42
2024-01-03 08:00:00,8,2,1,False,-1.3,9.143,heat,5,0.0,8.893,False,55.69
2024-01-03 09:00:00,9,2,1,False,9.4,5.741,heat,3,0.353,5.387,False,25.87
2024-01-03 10:00:00,10,2,1,False,3.3,7.89,heat,7,0.178,7.457,False,38.37
2024-01-03 11:00:00,11,2,1,False,3.2,7.44,heat,2,0.095,6.957,False,44.61
2024-01-03 12:00:00,12,2,1,False,7.0,7.073,heat,3,0.432,6.573,False,37.61
2024-01-03 13:00:00,13,2,1,False,5.2,7.486,heat,2,0.186,7.003,False,40.03
2024-01-03 14:00:00,14,2,1,False,10.1,6.257,off,3,0.489,5.824,False,35.94
2024-01-03 15:00:00,15,2,1,False,7.2,6.998,heat,5,0.093,6.644,False,32.56
2024-01-03 16:00:00,16,2,1,False,9.6,6.594,heat,0,0.158,6.344,False,38.77
2024-01-03 17:00:00,17,2,1,False,3.7,8.089,heat,3,0.0,7.96,False,48.93
2024-01-03 18:00:00,18,2,1,False,8.7,6.765,heat,5,0.021,6.765,False,35.83
2024-01-03 19:00:00,19,2,1,False,-1.7,9.603,heat,4,0.025,9.603,False,56.57
2024-01-03 20:00:00,20,2,1,False,4.7,6.647,heat,3,0.0,6.647,False,35.95
2024-01-03 21:00:00,21,2,1,False,1.0,8.157,heat,2,0.0,8.157,False,43.52
2024-01-03 22:00:00,22,2,1,False,5.4,7.628,heat,3,0.0,7.628,False,34.69
2024-01-03 23:00:00,23,2,1,False,5.6,5.914,heat,2,0.0,5.914,False,38.23
2024-01-04 00:00:00,0,3,1,False,7.9,4.988,heat,4,0.0,4.988,False,27.27
2024-01-04 01:00:00,1,3,1,False,5.8,6.032,heat,2,0.0,6.032,False,37.68
2024-01-04 02:00:00,2,3,1,False,2.8,6.891,heat,1,0.0,6.891,False,36.64
2024-01-04 03:00:00,3,3,1,False,3.6,6.089,heat,2,0.0,6.089,False,30.78
2024-01-04 04:00:00,4,3,1,False,5.6,5.637,heat,5,0.0,5.637,False,33.91
2024-01-04 05:00:00,5,3,1,False,3.1,5.877,heat,1,0.0,5.877,False,35.5
2024-01-04 06:00:00,6,3,1,False,8.6,5.114,heat,4,0.0,5.114,False,32.21
2024-01-04 07:00:00,7,3,1,False,3.9,7.81,heat,2,0.002,7.681,False,47.08
2024-01-04 08:00:00,8,3,1,False,8.1,6.355,heat,4,0.23,6.105,False,37.52
2024-01-04 09:00:00,9,3,1,False,3.0,7.847,heat,3,0.059,7.493,False,35.39
2024-01-04 10:00:00,10,3,1,False,6.9,7.059,heat,5,0.303,6.626,False,34.15
2024-01-04 11:00:00,11,3,1,False,4.4,8.074,heat,4,0.305,7.591,False,45.63
2024-01-04 12:00:00,12,3,1,False,8.5,6.521,heat,4,0.357,6.021,False,36.83
2024-01-04 13:00:00,13,3,1,False,10.7,5.752,off,2,0.604,5.269,False,33.4
2024-01-04 14:00:00,14,3,1,False,5.6,7.985,heat,4,0.235,7.552,False,46.05
2024-01-04 15:00:00,15,3,1,False,10.7,6.4,off,5,0.361,6.046,False,30.2
2024-01-04 16:00:00,16,3,1,False,4.5,7.144,heat,0,0.0,6.894,False,45.67
2024-01-04 17:00:00,17,3,1,False,5.6,7.685,heat,4,0.146,7.556,False,41.5
2024-01-04 18:00:00,18,3,1,False,4.7,7.419,heat,2,0.193,7.419,False,44.28
2024-01-04 19:00:00,19,3,1,False,2.0,8.712,heat,6,0.0,8.712,False,52.14
2024-01-04 20:00:00,20,3,1,False,9.4,6.285,heat,3,0.0,6.285,False,30.97
2024-01-04 21:00:00,21,3,1,False,5.5,6.714,heat,7,0.0,6.714,False,35.74
2024-01-04 22:00:00,22,3,1,False,3.7,7.636,heat,4,0.0,7.636,False,35.19
2024-01-04 23:00:00,23,3,1,False,2.9,6.234,heat,2,0.0,6.234,False,28.4
2024-01-05 00:00:00,0,4,1,False,10.7,4.363,off,3,0.0,4.363,False,20.95
2024-01-05 01:00:00,1,4,1,False,4.6,5.239,heat,5,0.0,5.239,False,24.8
2024-01-05 02:00:00,2,4,1,False,4.5,6.117,heat,1,0.0,6.117,False,36.3
2024-01-05 03:00:00,3,4,1,False,8.1,4.465,heat,2,0.0,4.465,False,24.5
2024-01-05 04:00:00,4,4,1,False,9.6,4.838,heat,6,0.0,4.838,False,25.53
2024-01-05 05:00:00,5,4,1,False,3.5,5.471,heat,2,0.0,5.471,False,26.44
2024-01-05 06:00:00,6,4,1,False,6.9,5.142,heat,4,0.206,5.142,False,27.19
2024-01-05 07:00:00,7,4,1,False,6.9,7.302,heat,4,0.226,7.173,False,44.61
2024-01-05 08:00:00,8,4,1,False,4.5,7.96,heat,1,0.269,7.71,False,50.48
2024-01-05 09:00:00,9,4,1,False,3.9,7.519,heat,5,0.07,7.165,False,39.69
2024-01-05 10:00:00,10,4,1,False,3.2,8.224,heat,4,0.17,7.791,False,48.75
2024-01-05 11:00:00,11,4,1,False,8.1,6.039,heat,2,0.561,5.556,False,37.4
2024-01-05 12:00:00,12,4,1,False,5.8,7.751,heat,0,0.248,7.251,False,40.99
2024-01-05 13:00:00,13,4,1,False,5.2,7.961,heat,7,0.214,7.478,False,40.39
2024-01-05 14:00:00,14,4,1,False,2.9,8.001,heat,2,0.216,7.568,False,41.91
2024-01-05 15:00:00,15,4,1,False,8.1,6.593,heat,3,0.334,6.239,False,35.17
2024-01-05 16:00:00,16,4,1,False,6.0,6.373,heat,4,0.147,6.123,False,37.9
2024-01-05 17:00:00,17,4,1,False,2.4,8.177,heat,3,0.058,8.048,False,41.38
2024-01-05 18:00:00,18,4,1,False,4.0,8.074,heat,9,0.0,8.074,False,38.72
2024-01-05 19:00:00,19,4,1,False,7.3,7.124,heat,3,0.0,7.124,False,40.14
2024-01-05 20:00:00,20,4,1,False,-0.3,8.93,heat,5,0.0,8.93,False,40.55
2024-01-05 21:00:00,21,4,1,False,4.9,7.003,heat,4,0.0,7.003,False,38.3
2024-01-05 22:00:00,22,4,1,False,7.5,6.975,heat,6,0.0,6.975,False,41.23
2024-01-05 23:00:00,23,4,1,False,5.7,5.519,heat,0,0.0,5.519,False,27.74
2024-01-06 00:00:00,0,5,1,True,7.2,4.964,heat,7,0.0,4.964,False,22.49
2024-01-06 01:00:00,1,5,1,True,-1.3,6.756,heat,4,0.155,6.756,False,42.37
2024-01-06 02:00:00,2,5,1,True,1.1,6.032,heat,5,0.0,6.032,False,31.55
2024-01-06 03:00:00,3,5,1,True,7.7,4.294,heat,3,0.0,4.294,False,22.19
2024-01-06 04:00:00,4,5,1,True,6.2,4.268,heat,3,0.0,4.268,False,25.22
2024-01-06 05:00:00,5,5,1,True,4.2,4.822,heat,0,0.0,4.822,False,23.34
2024-01-06 06:00:00,6,5,1,True,5.8,5.507,heat,0,0.032,5.507,False,32.39
2024-01-06 07:00:00,7,5,1,True,6.8,5.639,heat,3,0.007,5.51,False,32.28
2024-01-06 08:00:00,8,5,1,True,3.5,6.821,heat,3,0.0,6.571,False,33.6
2024-01-06 09:00:00,9,5,1,True,2.9,7.009,heat,8,0.0,6.655,False,36.65
2024-01-06 10:00:00,10,5,1,True,1.0,7.451,heat,3,0.0,7.018,False,47.08
2024-01-06 11:00:00,11,5,1,True,9.4,5.43,heat,2,0.43,4.947,False,32.11
2024-01-06 12:00:00,12,5,1,True,5.2,7.142,heat,1,0.229,6.642,False,44.02
2024-01-06 13:00:00,13,5,1,True,9.6,5.365,heat,7,0.296,4.882,False,28.68
2024-01-06 14:00:00,14,5,1,True,1.0,7.653,heat,1,0.018,7.22,False,44.13
2024-01-06 15:00:00,15,5,1,True,5.4,6.23,heat,3,0.357,5.876,False,31.89
2024-01-06 16:00:00,16,5,1,True,1.4,7.264,heat,1,0.071,7.014,False,39.03
2024-01-06 17:00:00,17,5,1,True,10.3,5.318,off,3,0.333,5.189,False,34.31
2024-01-06 18:00:00,18,5,1,True,13.2,4.968,off,2,0.0,4.968,False,28.81
2024-01-06 19:00:00,19,5,1,True,8.8,6.025,heat,4,0.0,6.025,False,29.83
2024-01-06 20:00:00,20,5,1,True,1.6,6.025,heat,3,0.0,6.025,False,35.47
2024-01-06 21:00:00,21,5,1,True,1.5,6.646,heat,6,0.128,6.646,False,43.12
2024-01-06 22:00:00,22,5,1,True,4.7,7.353,heat,3,0.0,7.353,False,43.31
2024-01-06 23:00:00,23,5,1,True,5.4,4.632,heat,1,0.0,4.632,False,26.58
2024-01-07 00:00:00,0,6,1,True,6.6,4.407,heat,2,0.0,4.407,False,25.33
2024-01-07 01:00:00,1,6,1,True,6.4,4.361,heat,3,0.0,4.361,False,26.0
2024-01-07 02:00:00,2,6,1,True,5.1,4.415,heat,2,0.0,4.415,False,28.47
2024-01-07 03:00:00,3,6,1,True,4.3,4.811,heat,3,0.0,4.811,False,21.66
2024-01-07 04:00:00,4,6,1,True,2.5,5.349,heat,1,0.09,5.349,False,25.7
2024-01-07 05:00:00,5,6,1,True,7.0,4.241,heat,1,0.088,4.241,False,24.89
2024-01-07 06:00:00,6,6,1,True,-2.1,6.342,heat,1,0.0,6.342,False,29.26
2024-01-07 07:00:00,7,6,1,True,5.3,6.742,heat,2,0.204,6.613,False,41.04
2024-01-07 08:00:00,8,6,1,True,5.7,6.243,heat,0,0.325,5.993,False,31.38
2024-01-07 09:00:00,9,6,1,True,4.3,6.675,heat,2,0.278,6.321,False,40.37
2024-01-07 10:00:00,10,6,1,True,7.4,5.875,heat,2,0.277,5.442,False,36.7
2024-01-07 11:00:00,11,6,1,True,8.0,5.502,heat,2,0.466,5.019,False,27.04
2024-01-07 12:00:00,12,6,1,True,5.6,6.014,heat,5,0.126,5.514,False,38.05
2024-01-07 13:00:00,13,6,1,True,11.9,4.122,off,3,0.437,3.639,False,19.47
2024-01-07 14:00:00,14,6,1,True,2.9,7.261,heat,2,0.376,6.828,False,36.5
2024-01-07 15:00:00,15,6,1,True,3.6,6.738,heat,3,0.082,6.384,False,34.22
2024-01-07 16:00:00,16,6,1,True,3.8,7.252,heat,8,0.0,7.002,False,37.87
2024-01-07 17:00:00,17,6,1,True,8.4,5.754,heat,3,0.073,5.625,False,34.08
2024-01-07 18:00:00,18,6,1,True,6.1,6.81,heat,4,0.187,6.81,False,33.19
2024-01-07 19:00:00,19,6,1,True,-0.8,7.739,heat,4,0.117,7.739,False,41.6
2024-01-07 20:00:00,20,6,1,True,4.0,6.308,heat,4,0.0,6.308,False,39.42
2024-01-07 21:00:00,21,6,1,True,3.2,7.644,heat,3,0.0,7.644,False,34.95
2024-01-07 22:00:00,22,6,1,True,10.1,5.642,off,5,0.0,5.642,False,31.82
2024-01-07 23:00:00,23,6,1,True,2.6,4.812,heat,1,0.0,4.812,False,27.56
2024-01-08 00:00:00,0,0,1,False,5.0,6.246,heat,3,0.0,6.246,False,31.63
2024-01-08 01:00:00,1,0,1,False,0.3,7.513,heat,6,0.0,7.513,False,45.78
2024-01-08 02:00:00,2,0,1,False,5.5,5.842,heat,4,0.0,5.842,False,37.31
2024-01-08 03:00:00,3,0,1,False,10.6,4.124,off,3,0.0,4.124,False,21.41
2024-01-08 04:00:00,4,0,1,False,2.5,6.6,heat,2,0.034,6.6,False,40.81
2024-01-08 05:00:00,5,0,1,False,7.8,5.429,heat,1,0.0,5.429,False,27.06
2024-01-08 06:00:00,6,0,1,False,4.4,5.923,heat,5,0.035,5.923,False,29.47
2024-01-08 07:00:00,7,0,1,False,4.9,7.853,heat,3,0.0,7.724,False,44.05
2024-01-08 08:00:00,8,0,1,False,6.9,6.442,heat,5,0.237,6.192,False,35.84
2024-01-08 09:00:00,9,0,1,False,1.2,8.563,heat,1,0.113,8.209,False,54.11
2024-01-08 10:00:00,10,0,1,False,2.7,8.901,heat,3,0.0,8.468,False,48.09
2024-01-08 11:00:00,11,0,1,False,2.3,8.469,heat,4,0.191,7.986,False,47.7
2024-01-08 12:00:00,12,0,1,False,10.1,24.152,off,5,0.39,23.652,True,125.34
2024-01-08 13:00:00,13,0,1,False,8.2,6.705,heat,2,0.328,6.222,False,33.13
2024-01-08 14:00:00,14,0,1,False,8.0,6.892,heat,2,0.439,6.459,False,40.77
2024-01-08 15:00:00,15,0,1,False,8.0,6.619,heat,3,0.221,6.265,False,30.61
2024-01-08 16:00:00,16,0,1,False,7.4,6.784,heat,2,0.199,6.534,False,42.22
2024-01-08 17:00:00,17,0,1,False,0.1,8.97,heat,3,0.0,8.841,False,56.78
2024-01-08 18:00:00,18,0,1,False,3.2,7.622,heat,3,0.0,7.622,False,42.35
2024-01-08 19:00:00,19,0,1,False,4.3,8.046,heat,3,0.087,8.046,False,37.44
2024-01-08 20:00:00,20,0,1,False,5.4,7.646,heat,5,0.01,7.646,False,39.53
2024-01-08 21:00:00,21,0,1,False,1.9,7.827,heat,5,0.0,7.827,False,36.15
2024-01-08 22:00:00,22,0,1,False,0.8,8.977,heat,3,0.0,8.977,False,44.56
2024-01-08 23:00:00,23,0,1,False,1.8,7.683,heat,2,0.0,7.683,False,44.58
2024-01-09 00:00:00,0,1,1,False,2.7,6.974,heat,3,0.0,6.974,False,31.76
2024-01-09 01:00:00,1,1,1,False,3.9,5.55,heat,4,0.0,5.55,False,27.77
2024-01-09 02:00:00,2,1,1,False,6.3,6.681,heat,5,0.0,6.681,False,38.15
2024-01-09 03:00:00,3,1,1,False,4.5,5.28,heat,3,0.0,5.28,False,32.45
2024-01-09 04:00:00,4,1,1,False,8.7,4.449,heat,1,0.0,4.449,False,26.17
2024-01-09 05:00:00,5,1,1,False,6.9,4.882,heat,4,0.0,4.882,False,27.94
2024-01-09 06:00:00,6,1,1,False,4.1,6.173,heat,1,0.022,6.173,False,29.94
2024-01-09 07:00:00,7,1,1,False,6.3,6.435,heat,1,0.168,6.306,False,39.01
2024-01-09 08:00:00,8,1,1,False,4.7,6.728,heat,2,0.073,6.478,False,33.93
2024-01-09 09:00:00,9,1,1,False,3.2,7.713,heat,2,0.0,7.359,False,46.35
2024-01-09 10:00:00,10,1,1,False,5.2,7.212,heat,1,0.241,6.779,False,37.68
2024-01-09 11:00:00,11,1,1,False,6.2,7.114,heat,0,0.188,6.631,False,38.34
2024-01-09 12:00:00,12,1,1,False,8.0,6.983,heat,3,0.461,6.483,False,43.93
2024-01-09 13:00:00,13,1,1,False,11.6,6.478,off,1,0.63,5.995,False,31.32
2024-01-09 14:00:00,14,1,1,False,8.8,6.577,heat,3,0.599,6.144,False,37.58
2024-01-09 15:00:00,15,1,1,False,2.0,8.471,heat,2,0.215,8.117,False,51.59
2024-01-09 16:00:00,16,1,1,False,0.2,22.163,heat,2,0.036,21.913,True,109.97
2024-01-09 17:00:00,17,1,1,False,8.9,7.039,heat,3,0.093,6.91,False,37.32
2024-01-09 18:00:00,18,1,1,False,4.6,22.405,heat,6,0.092,22.405,True,114.59
2024-01-09 19:00:00,19,1,1,False,2.9,7.835,heat,3,0.0,7.835,False,47.08
2024-01-09 20:00:00,20,1,1,False,9.9,5.782,heat,4,0.0,5.782,False,33.12
2024-01-09 21:00:00,21,1,1,False,4.4,7.449,heat,4,0.0,7.449,False,40.71
2024-01-09 22:00:00,22,1,1,False,4.7,7.439,heat,6,0.031,7.439,False,46.18
2024-01-09 23:00:00,23,1,1,False,3.1,6.434,heat,3,0.0,6.434,False,32.95
2024-01-10 00:00:00,0,2,1,False,-1.1,7.571,heat,2,0.068,7.571,False,37.22
2024-01-10 01:00:00,1,2,1,False,2.2,6.648,heat,3,0.0,6.648,False,40.34
2024-01-10 02:00:00,2,2,1,False,3.1,6.014,heat,5,0.059,6.014,False,30.98
2024-01-10 03:00:00,3,2,1,False,0.1,7.173,heat,5,0.089,7.173,False,38.1
2024-01-10 04:00:00,4,2,1,False,5.2,6.096,heat,0,0.0,6.096,False,34.16
2024-01-10 05:00:00,5,2,1,False,5.8,6.448,heat,4,0.0,6.448,False,41.7
2024-01-10 06:00:00,6,2,1,False,7.7,5.13,heat,6,0.079,5.13,False,26.64
2024-01-10 07:00:00,7,2,1,False,2.7,8.1,heat,1,0.159,7.971,False,46.77
2024-01-10 08:00:00,8,2,1,False,-0.6,8.894,heat,2,0.0,8.644,False,56.28
2024-01-10 09:00:00,9,2,1,False,4.0,7.579,heat,6,0.298,7.225,False,38.31
2024-01-10 10:00:00,10,2,1,False,1.2,8.282,heat,5,0.0,7.849,False,50.37
2024-01-10 11:00:00,11,2,1,False,4.9,6.815,heat,4,0.215,6.332,False,40.72
2024-01-10 12:00:00,12,2,1,False,7.6,7.068,heat,4,0.362,6.568,False,42.78
2024-01-10 13:00:00,13,2,1,False,3.4,8.205,heat,1,0.263,7.722,False,50.26
2024-01-10 14:00:00,14,2,1,False,4.8,7.428,heat,1,0.341,6.995,False,40.01
2024-01-10 15:00:00,15,2,1,False,-1.1,9.276,heat,2,0.131,8.922,False,44.24
2024-01-10 16:00:00,16,2,1,False,3.8,7.135,heat,2,0.0,6.885,False,39.49
2024-01-10 17:00:00,17,2,1,False,9.8,6.927,heat,3,0.145,6.798,False,33.67
2024-01-10 18:00:00,18,2,1,False,6.7,6.812,heat,5,0.0,6.812,False,32.64
2024-01-10 19:00:00,19,2,1,False,2.7,8.02,heat,4,0.0,8.02,False,43.76
2024-01-10 20:00:00,20,2,1,False,1.6,8.751,heat,8,0.129,8.751,False,44.06
2024-01-10 21:00:00,21,2,1,False,4.9,6.978,heat,6,0.032,6.978,False,36.88
2024-01-10 22:00:00,22,2,1,False,6.5,6.965,heat,5,0.0,6.965,False,34.04
2024-01-10 23:00:00,23,2,1,False,2.7,6.325,heat,3,0.0,6.325,False,39.23
2024-01-11 00:00:00,0,3,1,False,4.4,6.403,heat,1,0.0,6.403,False,38.14
2024-01-11 01:00:00,1,3,1,False,-0.8,7.11,heat,2,0.001,7.11,False,41.0
2024-01-11 02:00:00,2,3,1,False,7.4,5.733,heat,6,0.0,5.733,False,26.97
2024-01-11 03:00:00,3,3,1,False,2.4,6.784,heat,3,0.0,6.784,False,34.8
2024-01-11 04:00:00,4,3,1,False,6.9,4.941,heat,5,0.0,4.941,False,28.46
2024-01-11 05:00:00,5,3,1,False,6.0,6.116,heat,5,0.0,6.116,False,30.0
2024-01-11 06:00:00,6,3,1,False,6.4,6.44,heat,2,0.0,6.44,False,39.75
2024-01-11 07:00:00,7,3,1,False,4.2,7.371,heat,2,0.108,7.242,False,46.07
2024-01-11 08:00:00,8,3,1,False,9.9,6.101,heat,1,0.406,5.851,False,34.27
2024-01-11 09:00:00,9,3,1,False,3.0,7.51,heat,5,0.173,7.156,False,35.78
2024-01-11 10:00:00,10,3,1,False,10.0,6.273,heat,4,0.364,5.84,False,30.98
2024-01-11 11:00:00,11,3,1,False,5.8,7.787,heat,3,0.205,7.304,False,35.36
2024-01-11 12:00:00,12,3,1,False,5.4,7.177,heat,2,0.143,6.677,False,36.39
2024-01-11 13:00:00,13,3,1,False,4.3,7.345,heat,0,0.198,6.862,False,44.96
2024-01-11 14:00:00,14,3,1,False,5.3,7.966,heat,5,0.149,7.533,False,40.65
2024-01-11 15:00:00,15,3,1,False,5.0,7.229,heat,5,0.203,6.875,False,44.3
2024-01-11 16:00:00,16,3,1,False,10.2,5.949,off,4,0.186,5.699,False,37.02
2024-01-11 17:00:00,17,3,1,False,1.4,8.358,heat,8,0.0,8.229,False,51.93
2024-01-11 18:00:00,18,3,1,False,4.4,6.992,heat,8,0.0,6.992,False,43.09
2024-01-11 19:00:00,19,3,1,False,2.2,7.914,heat,3,0.035,7.914,False,38.71
2024-01-11 20:00:00,20,3,1,False,3.3,8.719,heat,5,0.0,8.719,False,49.93
2024-01-11 21:00:00,21,3,1,False,5.1,7.816,heat,5,0.0,7.816,False,41.81
2024-01-11 22:00:00,22,3,1,False,9.5,6.659,heat,6,0.0,6.659,False,32.96
2024-01-11 23:00:00,23,3,1,False,6.4,5.932,heat,1,0.0,5.932,False,37.61
2024-01-12 00:00:00,0,4,1,False,2.1,7.012,heat,4,0.0,7.012,False,45.07
2024-01-12 01:00:00,1,4,1,False,4.1,6.101,heat,3,0.0,6.101,False,32.05
2024-01-12 02:00:00,2,4,1,False,8.5,5.152,heat,3,0.0,5.152,False,31.85
2024-01-12 03:00:00,3,4,1,False,3.2,6.63,heat,4,0.0,6.63,False,43.0
2024-01-12 04:00:00,4,4,1,False,5.4,5.755,heat,1,0.014,5.755,False,36.8
2024-01-12 05:00:00,5,4,1,False,6.2,6.267,heat,1,0.0,6.267,False,31.45
2024-01-12 06:00:00,6,4,1,False,4.3,5.535,heat,3,0.0,5.535,False,25.16
2024-01-12 07:00:00,7,4,1,False,2.3,8.107,heat,3,0.006,7.978,False,39.54
2024-01-12 08:00:00,8,4,1,False,5.8,7.804,heat,3,0.155,7.554,False,37.86
2024-01-12 09:00:00,9,4,1,False,11.9,6.219,off,6,0.378,5.865,False,31.32
2024-01-12 10:00:00,10,4,1,False,3.6,7.699,heat,3,0.0,7.266,False,40.44
2024-01-12 11:00:00,11,4,1,False,3.4,8.076,heat,5,0.066,7.593,False,49.39
2024-01-12 12:00:00,12,4,1,False,7.2,7.115,heat,2,0.263,6.615,False,36.95
2024-01-12 13:00:00,13,4,1,False,12.2,6.632,off,2,0.567,6.149,False,41.8
2024-01-12 14:00:00,14,4,1,False,2.4,7.868,heat,4,0.0,7.435,False,46.13
2024-01-12 15:00:00,15,4,1,False,1.5,8.52,heat,3,0.134,8.166,False,39.79
2024-01-12 16:00:00,16,4,1,False,7.4,6.786,heat,3,0.197,6.536,False,43.9
2024-01-12 17:00:00,17,4,1,False,7.5,7.545,heat,3,0.055,7.416,False,38.14
2024-01-12 18:00:00,18,4,1,False,2.1,8.227,heat,4,0.0,8.227,False,48.6
2024-01-12 19:00:00,19,4,1,False,4.1,7.524,heat,3,0.0,7.524,False,45.82
2024-01-12 20:00:00,20,4,1,False,1.5,8.714,heat,5,0.056,8.714,False,45.74
2024-01-12 21:00:00,21,4,1,False,3.9,7.506,heat,8,0.0,7.506,False,47.07
2024-01-12 22:00:00,22,4,1,False,4.1,7.841,heat,4,0.0,7.841,False,47.98
2024-01-12 23:00:00,23,4,1,False,7.9,5.605,heat,1,0.0,5.605,False,33.86
