employee_id,department,job_level,age,gender,marital_status,education,years_at_company,years_in_role,monthly_income,overtime_hours_month,satisfaction_score,work_life_balance,trainings_last_year,promotions_last_5y,distance_home_km,remote_days_week,stock_option_level,num_companies_worked,performance_rating,hire_date,last_promotion_date,attrition,attrition_risk_score,manager_tenure_years,team_size,business_travel,environment_satisfaction,job_involvement,monthly_rate,percent_salary_hike,relationship_satisfaction,total_working_years,training_times_last_year,work_accident,left_company
EMP-20021,Operations,3,52,M,single,master,10,7,11776,0,3.71,3.89,7,1,19.2,4,3,2,2,2015-03-05,2018-09-14,False,0.0,3,12,none,3.74,4,73.6,18.2,1,22,7,False,False
EMP-20022,Sales,2,33,M,married,master,17,15,8948,31,3.96,3.02,3,3,51.6,5,2,3,1,2015-03-08,2018-09-19,False,0.9,9,4,rare,3.67,1,55.92,8.8,1,22,3,False,False
EMP-20023,Operations,5,36,F,married,college,0,0,12096,25,2.89,3.05,3,2,18.9,5,3,3,4,2015-03-11,2018-09-24,False,0.8,2,13,rare,2.83,3,75.6,10.1,1,6,3,False,False
EMP-20024,IT,4,25,M,single,bachelor,2,1,9897,21,3.65,2.77,3,0,19.0,5,0,8,2,2015-03-14,2018-09-29,False,0.4,2,4,none,3.52,1,61.86,6.8,4,11,3,False,False
EMP-20025,Finance,4,42,F,married,bachelor,13,11,11398,20,3.37,3.98,1,1,48.6,3,0,9,2,2015-03-17,2018-10-04,False,0.8,9,14,rare,3.58,2,71.24,8.5,3,26,1,False,False
EMP-20026,R&D,4,37,F,single,bachelor,0,0,8562,23,2.77,2.63,0,2,58.2,1,0,2,2,2015-03-20,2018-10-09,False,1.3,12,6,rare,2.34,4,53.51,1.3,2,11,0,False,False
EMP-20027,R&D,4,52,M,single,bachelor,4,2,11312,14,3.77,2.3,2,0,56.0,0,0,4,3,2015-03-23,2018-10-14,False,0.7,12,5,none,3.7,3,70.7,14.5,3,16,2,False,False
EMP-20028,R&D,4,54,F,single,bachelor,19,15,11466,33,2.87,2.58,3,1,7.6,0,3,5,4,2015-03-26,2018-10-19,False,3.3,5,4,none,3.52,2,71.66,4.3,1,30,3,False,False
EMP-20029,Operations,4,49,F,single,master,11,9,12242,7,2.56,2.76,1,3,18.0,1,0,3,4,2015-03-29,2018-10-24,False,0.1,13,10,none,2.63,4,76.51,17.9,4,13,1,False,False
EMP-20030,HR,4,29,F,single,master,0,0,10166,28,2.71,2.18,0,1,45.8,5,1,3,4,2015-04-01,2018-10-29,False,8.3,8,7,frequent,2.29,1,63.54,1.1,1,3,0,False,False
EMP-20031,Operations,5,29,F,married,bachelor,15,14,13902,26,3.23,3.01,7,2,48.6,1,3,7,2,2015-04-04,2018-11-03,False,0.3,6,10,none,3.09,2,86.89,1.5,3,28,7,False,False
EMP-20032,Sales,1,39,M,single,bachelor,9,7,5846,29,3.36,2.32,7,2,30.8,0,3,4,3,2015-04-07,2018-11-08,False,1.0,5,18,none,2.47,2,36.54,7.1,1,15,7,False,False
EMP-20033,Finance,3,44,F,single,bachelor,8,6,10469,2,4.25,4.19,2,1,2.0,5,0,7,3,2015-04-10,2018-11-13,False,0.0,11,17,rare,4.23,3,65.43,11.0,1,10,2,False,False
EMP-20034,Finance,1,23,F,single,master,16,13,7688,15,3.3,2.67,4,3,30.6,2,0,1,2,2015-04-13,2018-11-18,False,0.2,6,15,rare,3.96,2,48.05,17.3,3,20,4,False,False
EMP-20035,Finance,1,39,F,married,bachelor,5,4,5377,22,3.62,3.33,1,0,2.8,2,0,5,4,2015-04-16,2018-11-23,False,1.2,6,10,rare,3.15,2,33.61,17.3,3,12,1,False,False
EMP-20036,HR,5,25,F,single,bachelor,4,1,11761,21,2.85,2.1,7,1,17.6,1,0,3,4,2015-04-19,2018-11-28,False,1.5,6,4,rare,2.27,3,73.51,24.3,2,12,7,False,False
EMP-20037,Sales,3,31,M,married,bachelor,9,8,10219,24,2.97,3.46,6,2,39.8,5,1,3,4,2015-04-22,2018-12-03,False,1.5,5,9,rare,2.71,1,63.87,8.8,3,11,6,False,False
EMP-20038,Sales,4,34,F,single,master,2,2,9660,22,2.61,2.66,1,0,8.9,2,1,5,4,2015-04-25,2018-12-08,False,3.9,6,3,rare,2.98,1,60.38,1.5,4,5,1,False,False
EMP-20039,Sales,4,23,F,single,bachelor,0,0,8956,7,4.17,4.42,1,3,43.0,5,3,3,1,2015-04-28,2018-12-13,False,0.0,1,5,frequent,4.85,1,55.98,21.5,2,5,1,False,False
EMP-20040,HR,1,31,F,married,master,0,0,5199,28,3.44,2.18,2,0,37.7,5,1,7,1,2015-05-01,2018-12-18,False,3.2,13,8,rare,3.62,2,32.49,18.3,4,3,2,False,False
EMP-20041,IT,3,44,F,married,phd,5,4,9975,16,3.56,4.16,0,2,26.4,2,1,2,3,2015-05-04,2018-12-23,False,0.3,4,14,rare,3.05,1,62.34,1.7,1,19,0,False,False
EMP-20042,R&D,1,57,F,married,master,1,1,4596,33,4.26,1.87,2,2,23.0,4,1,9,3,2015-05-07,2018-12-28,False,3.1,7,16,none,4.25,1,28.72,2.1,4,1,2,False,False
EMP-20043,IT,2,50,F,married,bachelor,10,10,8124,18,3.76,2.2,5,3,55.0,0,2,4,2,2015-05-10,2019-01-02,False,0.2,3,13,rare,4.48,3,50.78,11.9,4,21,5,False,False
EMP-20044,Operations,1,33,M,single,master,17,15,6507,18,4.35,3.12,5,0,33.6,4,1,5,1,2015-05-13,2019-01-07,False,0.4,8,7,frequent,4.23,3,40.67,8.5,2,21,5,True,False
EMP-20045,Sales,4,55,M,single,bachelor,5,3,11378,20,3.26,3.62,0,0,53.4,5,0,2,2,2015-05-16,2019-01-12,False,0.8,4,15,none,3.32,1,71.11,14.9,1,13,0,False,False
EMP-20046,R&D,1,37,F,married,phd,0,0,5676,30,2.94,2.9,2,2,25.3,1,1,9,1,2015-05-19,2019-01-17,False,2.9,3,19,none,3.04,2,35.48,5.5,2,4,2,False,False
EMP-20047,Operations,3,34,M,single,master,0,0,8190,31,2.17,3.03,6,3,36.1,0,2,6,1,2015-05-22,2019-01-22,False,1.5,5,14,rare,1.55,3,51.19,24.0,2,14,6,False,False
EMP-20048,R&D,2,52,M,married,bachelor,3,1,6138,20,3.54,3.41,6,3,57.3,0,1,7,1,2015-05-25,2019-01-27,False,0.2,13,15,frequent,3.94,4,38.36,12.8,3,17,6,False,False
EMP-20049,R&D,5,36,M,married,bachelor,9,9,11914,19,1.39,2.64,4,0,8.3,5,2,9,3,2015-05-28,2019-02-01,False,3.0,13,17,none,1.73,4,74.46,18.8,1,14,4,False,False
EMP-20050,Operations,4,48,F,single,master,8,6,11901,1,4.02,4.33,5,1,16.5,1,1,9,3,2015-05-31,2019-02-06,False,0.0,12,15,frequent,3.22,1,74.38,3.1,1,8,5,True,False
EMP-20051,IT,2,27,F,single,master,5,4,6291,2,4.31,3.95,1,1,55.1,2,3,3,2,2015-06-03,2019-02-11,False,0.1,3,17,none,3.78,4,39.32,15.4,4,7,1,False,False
EMP-20052,Finance,2,33,M,married,bachelor,13,10,8458,25,3.07,2.4,6,3,25.9,2,3,3,3,2015-06-06,2019-02-16,False,0.5,10,8,frequent,2.68,2,52.86,21.6,4,23,6,False,False
EMP-20053,Sales,4,57,F,married,master,7,5,11662,12,3.36,3.49,3,2,17.1,1,2,3,3,2015-06-09,2019-02-21,False,0.3,12,8,frequent,3.66,2,72.89,0.6,3,19,3,False,False
EMP-20054,R&D,4,30,F,divorced,bachelor,10,10,10999,15,2.55,3.22,5,1,59.8,0,3,5,1,2015-06-12,2019-02-26,False,2.3,10,5,rare,2.25,3,68.74,13.5,4,10,5,True,False
EMP-20055,R&D,3,52,F,single,phd,19,15,10547,21,4.04,3.66,2,0,7.0,2,0,9,2,2015-06-15,2019-03-03,False,0.3,13,6,frequent,4.2,1,65.92,6.2,4,19,2,False,False
EMP-20056,Sales,1,38,F,divorced,phd,1,1,5719,7,3.87,3.39,1,2,37.1,5,2,7,1,2015-06-18,2019-03-08,False,0.2,3,12,frequent,3.8,2,35.74,12.0,4,8,1,True,False
EMP-20057,Operations,1,56,F,single,bachelor,2,0,4393,11,3.33,3.17,4,1,47.5,2,1,6,1,2015-06-21,2019-03-13,False,0.3,7,18,frequent,3.36,2,27.46,20.4,4,14,4,False,False
EMP-20058,Sales,4,36,M,single,bachelor,2,1,9712,1,4.19,3.6,4,0,47.4,4,3,5,1,2015-06-24,2019-03-18,False,0.3,5,6,rare,4.39,3,60.7,17.3,1,13,4,False,False
EMP-20059,Operations,3,39,M,married,bachelor,2,1,8452,26,3.08,3.65,4,0,27.1,4,0,7,4,2015-06-27,2019-03-23,False,2.2,11,15,rare,3.19,1,52.82,18.9,4,2,4,False,False
EMP-20060,Finance,5,36,M,divorced,phd,14,12,14702,17,2.85,2.83,6,2,3.6,4,0,5,4,2015-06-30,2019-03-28,False,0.4,2,4,none,2.84,1,91.89,5.3,4,28,6,False,False
EMP-20061,Finance,1,29,M,married,bachelor,15,12,7889,6,3.83,4.35,6,2,50.6,3,0,9,1,2015-07-03,2019-04-02,False,0.1,5,19,none,3.96,2,49.31,20.8,1,19,6,False,False
EMP-20062,R&D,1,52,F,married,bachelor,11,9,6041,20,3.55,2.48,2,1,48.4,2,2,6,4,2015-07-06,2019-04-07,False,1.5,10,11,rare,3.64,4,37.76,15.3,1,14,2,False,False
EMP-20063,Sales,4,42,F,married,master,1,1,9750,5,4.51,4.0,3,3,15.0,1,3,6,2,2015-07-09,2019-04-12,False,0.0,1,11,none,4.43,3,60.94,1.7,2,6,3,False,False
EMP-20064,Operations,5,40,F,divorced,bachelor,16,15,14771,27,2.95,2.78,0,2,21.1,1,3,7,1,2015-07-12,2019-04-17,False,0.9,4,9,frequent,2.78,3,92.32,21.6,4,27,0,False,False
EMP-20065,Operations,4,35,M,married,bachelor,16,14,10785,8,3.56,4.22,6,2,31.2,3,1,7,1,2015-07-15,2019-04-22,False,0.1,10,19,none,4.31,3,67.41,1.4,4,20,6,True,False
EMP-20066,Sales,1,49,F,married,master,8,8,5958,9,4.5,4.09,1,0,7.7,2,0,5,4,2015-07-18,2019-04-27,False,0.1,4,10,none,4.32,3,37.24,0.7,3,17,1,False,False
EMP-20067,HR,1,34,F,married,master,11,10,6085,30,3.17,2.54,0,1,49.4,2,3,4,2,2015-07-21,2019-05-02,False,3.4,9,5,none,3.72,1,38.03,20.8,4,14,0,False,False
EMP-20068,IT,5,30,M,married,master,10,9,14235,26,2.95,2.43,4,3,55.4,2,2,4,3,2015-07-24,2019-05-07,True,2.8,6,12,none,2.68,4,88.97,0.3,1,11,4,False,True
EMP-20069,Finance,3,24,F,divorced,bachelor,7,6,10356,23,3.22,3.66,7,1,19.2,5,0,9,2,2015-07-27,2019-05-12,False,0.5,7,13,none,3.54,1,64.72,2.2,4,8,7,False,False
EMP-20070,R&D,3,53,M,married,master,7,4,8486,21,3.56,2.63,3,2,55.5,3,2,1,2,2015-07-30,2019-05-17,False,0.8,6,15,rare,4.27,3,53.04,0.4,4,13,3,False,False
EMP-20071,IT,5,24,M,single,master,2,0,12374,18,2.76,1.97,1,3,48.3,5,3,7,4,2015-08-02,2019-05-22,False,0.3,13,11,none,2.62,4,77.34,22.0,4,2,1,False,False
EMP-20072,IT,2,52,M,divorced,bachelor,5,2,6744,6,3.28,2.77,1,2,43.9,5,3,9,4,2015-08-05,2019-05-27,False,0.2,11,7,frequent,3.01,3,42.15,1.1,2,13,1,False,False
EMP-20073,HR,2,35,F,married,college,5,2,6965,10,4.34,2.69,6,2,58.2,3,3,1,3,2015-08-08,2019-06-01,False,0.1,11,3,rare,4.17,4,43.53,9.3,3,16,6,False,False
EMP-20074,Sales,4,22,M,married,bachelor,12,9,12134,33,3.48,2.65,5,0,20.2,0,3,6,4,2015-08-11,2019-06-06,False,2.1,12,19,rare,3.47,1,75.84,5.4,2,20,5,False,False
EMP-20075,Sales,5,55,F,married,bachelor,16,15,13652,32,1.81,3.51,3,1,55.0,5,2,6,1,2015-08-14,2019-06-11,True,10.4,6,6,rare,1.94,3,85.32,8.5,2,22,3,False,True
EMP-20076,Finance,2,48,M,single,phd,1,0,6875,25,3.31,1.73,7,0,6.8,2,2,4,4,2015-08-17,2019-06-16,False,1.1,2,8,none,3.29,1,42.97,7.3,4,3,7,False,False
EMP-20077,HR,1,48,F,married,bachelor,0,0,5566,31,2.84,2.06,0,0,29.2,2,0,1,1,2015-08-20,2019-06-21,False,8.4,1,5,none,2.67,3,34.79,22.2,3,2,0,False,False
EMP-20078,Operations,1,41,M,single,college,8,5,6972,28,3.76,2.64,4,2,33.6,2,2,7,1,2015-08-23,2019-06-26,False,0.6,7,7,frequent,4.54,1,43.58,19.2,4,9,4,True,False
EMP-20079,HR,1,49,F,divorced,bachelor,15,12,6831,13,3.98,4.12,2,0,8.2,0,3,5,4,2015-08-26,2019-07-01,False,0.1,13,4,rare,3.9,3,42.69,22.1,2,16,2,False,False
EMP-20080,Finance,2,26,F,married,bachelor,8,8,7654,25,5.0,2.36,1,1,44.5,3,3,7,2,2015-08-29,2019-07-06,False,0.3,7,8,none,4.75,2,47.84,18.0,1,16,1,False,False
EMP-20081,Sales,3,30,F,married,bachelor,14,14,9194,26,2.83,3.0,7,1,29.0,0,3,1,1,2015-09-01,2019-07-11,False,3.5,14,19,rare,3.16,1,57.46,8.3,1,18,7,False,False
EMP-20082,Sales,3,41,M,single,bachelor,13,13,11229,4,4.81,3.67,7,1,27.9,4,0,9,1,2015-09-04,2019-07-16,False,0.0,8,6,none,5.0,4,70.18,4.6,3,22,7,False,False
EMP-20083,HR,2,48,F,divorced,college,13,10,8557,31,3.94,3.75,6,2,35.3,5,0,6,1,2015-09-07,2019-07-21,False,0.1,9,19,none,4.5,4,53.48,13.2,2,18,6,False,False
EMP-20084,Operations,4,43,M,married,college,9,6,11389,17,3.54,3.22,1,1,8.9,2,3,4,4,2015-09-10,2019-07-26,False,0.7,2,13,none,4.31,1,71.18,8.9,2,13,1,False,False
EMP-20085,R&D,5,36,M,married,master,0,0,12068,10,3.37,3.68,5,3,12.8,2,3,5,1,2015-09-13,2019-07-31,False,0.0,11,18,rare,3.51,1,75.42,16.1,1,6,5,False,False
EMP-20086,IT,2,46,F,divorced,bachelor,2,2,7129,16,3.62,3.24,2,1,11.7,4,2,9,4,2015-09-16,2019-08-05,False,0.3,13,13,none,3.5,1,44.56,1.0,4,7,2,False,False
EMP-20087,Finance,4,24,F,married,master,11,10,12137,11,3.47,3.24,3,3,57.2,5,3,5,4,2015-09-19,2019-08-10,False,0.1,8,19,rare,2.71,3,75.86,17.8,1,12,3,False,False
EMP-20088,Finance,3,40,M,divorced,bachelor,5,3,9716,11,4.29,3.92,1,3,46.6,0,2,6,1,2015-09-22,2019-08-15,False,0.1,13,12,none,3.91,4,60.72,7.5,3,5,1,False,False
EMP-20089,IT,4,36,F,married,bachelor,12,12,12929,19,2.62,2.47,4,1,32.2,2,0,6,3,2015-09-25,2019-08-20,False,1.2,4,17,none,2.7,1,80.81,11.6,2,26,4,False,False
EMP-20090,Operations,1,39,F,single,bachelor,5,4,5594,34,2.89,1.3,6,3,39.9,1,2,3,3,2015-09-28,2019-08-25,False,7.7,7,3,none,2.42,2,34.96,24.5,4,6,6,False,False
EMP-20091,Sales,4,26,F,married,bachelor,0,0,11603,14,3.17,3.22,1,1,39.3,0,1,3,2,2015-10-01,2019-08-30,False,0.7,13,18,rare,2.54,3,72.52,5.4,3,4,1,False,False
EMP-20092,R&D,4,54,M,divorced,bachelor,13,10,12606,7,2.58,4.06,4,3,16.5,0,3,7,3,2015-10-04,2019-09-04,False,0.1,9,3,frequent,2.61,2,78.79,2.9,1,19,4,False,False
EMP-20093,Finance,4,52,M,married,master,17,15,12192,26,3.38,2.41,5,3,6.1,3,1,3,1,2015-10-07,2019-09-09,False,0.3,10,6,rare,3.69,4,76.2,5.2,3,23,5,False,False
EMP-20094,IT,5,55,M,married,bachelor,8,8,11626,10,3.99,3.59,5,1,33.7,4,0,1,4,2015-10-10,2019-09-14,False,0.1,6,15,none,3.89,4,72.66,8.8,1,19,5,False,False
EMP-20095,Operations,4,52,M,single,bachelor,2,1,10508,18,2.8,2.49,2,1,16.5,3,1,5,4,2015-10-13,2019-09-19,False,0.3,8,7,none,3.16,3,65.68,13.4,3,12,2,False,False
EMP-20096,IT,5,45,M,married,bachelor,7,6,14087,8,4.05,4.13,0,3,52.5,1,1,1,1,2015-10-16,2019-09-24,False,0.1,6,3,none,4.3,3,88.04,24.5,1,16,0,False,False
EMP-20097,Operations,4,32,F,married,master,17,14,11620,7,2.67,3.98,6,2,14.9,2,3,6,1,2015-10-19,2019-09-29,False,0.4,10,17,frequent,3.13,2,72.62,21.7,3,21,6,False,False
EMP-20098,Operations,3,26,M,divorced,master,3,0,8826,8,3.74,3.61,4,2,34.8,5,0,6,2,2015-10-22,2019-10-04,False,0.0,1,11,rare,4.61,2,55.16,17.9,2,17,4,False,False
EMP-20099,Finance,5,44,F,single,bachelor,0,0,12132,12,3.19,3.48,5,2,25.8,5,3,9,2,2015-10-25,2019-10-09,False,0.2,8,11,frequent,4.24,3,75.82,18.0,2,1,5,False,False
EMP-20100,Sales,4,56,M,single,phd,15,14,12754,33,2.63,1.65,4,0,44.8,0,0,6,4,2015-10-28,2019-10-14,False,12.2,14,8,none,2.92,1,79.71,7.1,4,19,4,True,False
EMP-20101,HR,3,35,F,single,master,2,0,8330,23,3.18,2.18,3,0,57.1,3,0,4,4,2015-10-31,2019-10-19,False,7.2,1,15,rare,3.0,3,52.06,23.2,2,7,3,False,False
EMP-20102,Finance,3,57,F,single,bachelor,0,0,7704,24,3.04,2.74,2,3,25.3,3,1,6,1,2015-11-03,2019-10-24,False,0.3,7,8,rare,3.06,1,48.15,13.5,1,5,2,False,False
EMP-20103,Operations,2,27,M,married,bachelor,10,10,8256,1,3.93,4.21,5,1,3.6,2,2,6,1,2015-11-06,2019-10-29,False,0.0,10,12,rare,4.56,3,51.6,4.1,3,18,5,False,False
EMP-20104,Finance,4,32,M,married,college,4,3,10085,0,3.83,4.28,6,3,40.0,2,3,7,3,2015-11-09,2019-11-03,False,0.0,2,5,rare,3.47,3,63.03,23.8,4,4,6,False,False
EMP-20105,HR,3,45,F,single,bachelor,1,0,7052,11,4.43,3.27,2,1,8.6,4,2,9,2,2015-11-12,2019-11-08,False,0.1,1,8,none,5.0,2,44.08,12.7,1,13,2,False,False
EMP-20106,Operations,1,39,M,married,bachelor,0,0,6272,31,2.76,2.82,0,3,7.2,5,0,1,4,2015-11-15,2019-11-13,False,0.7,3,3,rare,2.69,2,39.2,3.9,2,2,0,False,False
EMP-20107,Operations,3,49,F,married,master,3,2,9502,0,5.0,4.71,1,2,40.0,1,1,7,3,2015-11-18,2019-11-18,False,0.0,4,7,frequent,5.0,3,59.39,18.4,3,8,1,False,False
EMP-20108,Operations,5,34,F,married,bachelor,0,0,13507,26,2.33,2.66,4,0,7.1,5,3,8,2,2015-11-21,2019-11-23,False,1.9,13,9,none,2.01,3,84.42,5.8,1,8,4,False,False
EMP-20109,Sales,2,49,F,divorced,master,0,0,7299,28,3.22,2.75,1,1,8.6,5,2,3,3,2015-11-24,2019-11-28,False,1.4,3,15,rare,2.69,3,45.62,4.7,4,13,1,False,False
EMP-20110,HR,4,32,F,married,master,5,4,11344,9,3.88,3.45,6,3,26.9,0,0,4,2,2015-11-27,2019-12-03,False,0.1,9,16,frequent,3.77,4,70.9,6.7,1,13,6,False,False
EMP-20111,HR,3,27,F,single,phd,13,10,10256,4,3.71,3.74,2,0,27.7,1,2,4,2,2015-11-30,2019-12-08,False,0.1,5,12,rare,4.23,1,64.1,14.5,2,21,2,False,False
EMP-20112,Operations,2,42,F,divorced,master,6,4,7171,5,4.83,3.83,3,0,54.9,2,2,4,3,2015-12-03,2019-12-13,False,0.1,8,18,rare,4.55,1,44.82,7.3,3,9,3,False,False
EMP-20113,Operations,2,40,M,single,master,0,0,7010,2,4.45,4.75,1,0,17.3,3,1,8,2,2015-12-06,2019-12-18,False,0.0,13,9,none,5.0,3,43.81,1.0,4,10,1,False,False
EMP-20114,R&D,5,42,F,divorced,bachelor,16,14,13477,29,2.47,3.01,3,2,24.7,1,2,3,3,2015-12-09,2019-12-23,False,2.6,13,11,rare,2.24,1,84.23,9.7,2,24,3,False,False
EMP-20115,Sales,1,22,F,married,phd,9,6,5025,27,4.09,3.06,5,3,42.7,2,1,4,2,2015-12-12,2019-12-28,False,1.3,2,13,frequent,3.66,1,31.41,5.9,2,9,5,False,False
EMP-20116,Operations,4,36,M,divorced,bachelor,17,14,11974,23,2.37,2.62,6,3,49.8,0,0,6,3,2015-12-15,2020-01-02,False,1.0,2,6,frequent,2.47,2,74.84,12.8,4,23,6,False,False
EMP-20117,R&D,5,25,M,single,bachelor,8,8,13993,3,3.29,3.4,5,3,21.6,0,3,3,2,2015-12-18,2020-01-07,False,0.1,6,10,none,3.56,3,87.46,11.5,3,21,5,False,False
EMP-20118,IT,1,50,M,married,college,9,6,4894,33,3.37,2.54,4,3,38.2,2,1,7,3,2015-12-21,2020-01-12,False,1.0,12,18,frequent,3.45,1,30.59,2.0,1,21,4,False,False
EMP-20119,IT,4,24,F,divorced,college,7,7,10067,23,3.46,3.47,3,3,37.8,3,1,5,2,2015-12-24,2020-01-17,False,0.1,11,11,none,3.52,2,62.92,6.1,4,10,3,False,False
EMP-20120,IT,4,55,M,married,master,0,0,10673,28,2.97,3.46,2,2,18.9,2,0,2,1,2015-12-27,2020-01-22,False,1.8,9,18,rare,3.61,1,66.71,7.0,1,11,2,False,False
EMP-20121,Finance,2,24,M,divorced,master,4,4,6748,13,3.6,2.12,7,3,8.0,2,1,2,2,2015-12-30,2020-01-27,False,0.1,13,14,none,3.64,4,42.18,12.1,3,8,7,False,False
EMP-20122,HR,1,43,M,single,bachelor,7,7,6028,6,3.96,4.92,5,2,41.3,2,2,1,2,2016-01-02,2020-02-01,False,0.0,3,5,none,3.77,4,37.67,20.6,4,18,5,False,False
EMP-20123,IT,5,34,F,married,master,3,1,13152,28,3.31,2.81,7,0,16.8,3,3,6,2,2016-01-05,2020-02-06,False,0.5,11,10,rare,2.86,1,82.2,5.5,3,10,7,False,False
EMP-20124,Finance,1,25,M,married,bachelor,13,13,6729,1,4.45,4.4,5,0,19.8,4,3,8,2,2016-01-08,2020-02-11,False,0.0,14,9,rare,4.96,2,42.06,4.0,4,17,5,False,False
EMP-20125,Operations,5,34,M,single,bachelor,17,15,13534,6,2.99,2.83,0,0,34.8,3,3,9,2,2016-01-11,2020-02-16,False,0.4,14,19,frequent,2.82,2,84.59,0.0,3,31,0,False,False
EMP-20126,R&D,4,23,F,married,bachelor,6,5,11946,5,3.14,3.63,2,1,10.5,0,3,6,2,2016-01-14,2020-02-21,False,0.2,10,8,none,3.01,2,74.66,15.2,3,9,2,False,False
